Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
20:21:54.615,,44,279,930
20:21:54.653,,127,267,1343
20:21:54.676,>Walk,,,
20:21:54.690,,28,412,1276
20:21:54.727,,-10,136,981
20:21:54.764,,119,384,827
20:21:54.801,,519,237,1214
20:21:54.838,,323,194,940
20:21:54.875,,362,197,1057
20:21:54.912,,301,101,957
20:21:54.949,,242,94,862
20:21:54.986,,178,17,859
20:21:55.023,,170,-9,890
20:21:55.060,,198,-80,863
20:21:55.097,,179,-78,915
20:21:55.134,,187,-143,938
20:21:55.171,,185,-139,987
20:21:55.296,,136,-174,926
20:21:55.297,,136,-174,926
20:21:55.297,,136,-174,926
20:21:55.320,,85,-216,862
20:21:55.357,,71,-189,820
20:21:55.394,,144,-150,747
20:21:55.431,,234,-161,649
20:21:55.468,,330,177,724
20:21:55.505,,440,331,789
20:21:55.542,,608,135,1130
20:21:55.579,,667,174,1291
20:21:55.616,,561,197,1118
20:21:55.653,,375,410,963
20:21:55.690,,237,359,830
20:21:55.727,,331,501,851
20:21:55.765,,419,562,800
20:21:55.802,,388,435,590
20:21:55.839,,500,386,460
20:21:55.876,,610,427,490
20:21:55.966,,865,445,446
20:21:55.967,,865,445,446
20:21:55.987,,943,371,435
20:21:56.024,,974,163,441
20:21:56.061,,995,64,424
20:21:56.098,,998,62,403
20:21:56.135,,1042,135,444
20:21:56.172,,1118,249,489
20:21:56.209,,1201,313,520
20:21:56.246,,1284,267,415
20:21:56.283,,1587,191,188
20:21:56.320,,1636,319,301
20:21:56.358,,1284,297,326
20:21:56.395,,949,219,212
20:21:56.432,,937,214,120
20:21:56.469,,863,254,78
20:21:56.506,,655,222,122
20:21:56.543,,499,166,86
20:21:56.580,,447,198,170
20:21:56.617,,463,230,128
20:21:56.709,,732,290,261
20:21:56.709,,732,290,261
20:21:56.728,,772,281,288
20:21:56.765,,836,304,376
20:21:56.802,,860,246,311
20:21:56.839,,849,234,283
20:21:56.876,,844,290,323
20:21:56.914,,844,350,340
20:21:56.951,,827,375,388
20:21:56.988,,851,395,392
20:21:57.025,,871,418,402
20:21:57.062,,847,369,391
20:21:57.099,,850,357,326
20:21:57.136,,893,365,278
20:21:57.173,,962,337,221
20:21:57.210,,1102,380,220
20:21:57.247,,1385,408,322
20:21:57.284,,1814,340,478
20:21:57.321,,1682,127,444
20:21:57.358,,1344,-96,287
20:21:57.445,,962,276,86
20:21:57.446,,962,276,86
20:21:57.469,,680,486,256
20:21:57.507,,600,461,190
20:21:57.544,,481,312,-31
20:21:57.581,,444,333,29
20:21:57.618,,508,338,143
20:21:57.655,,632,332,159
20:21:57.692,,803,298,187
20:21:57.729,,875,220,209
20:21:57.766,,968,185,211
20:21:57.803,,930,209,244
20:21:57.840,,869,263,383
20:21:57.877,,870,193,395
20:21:57.914,,1217,97,40
20:21:57.951,,1031,286,175
20:21:57.988,,921,495,579
20:21:58.025,,868,431,735
20:21:58.062,,875,326,648
20:21:58.153,,1027,27,242
20:21:58.154,,1027,27,242
20:21:58.174,,998,120,278
20:21:58.211,,874,276,299
20:21:58.248,,828,323,346
20:21:58.285,,822,332,267
20:21:58.322,,803,369,301
20:21:58.359,,694,321,297
20:21:58.396,,687,268,334
20:21:58.433,,696,231,392
20:21:58.470,,646,241,413
20:21:58.507,,701,265,373
20:21:58.544,,1172,352,309
20:21:58.581,,1339,346,273
20:21:58.618,,1201,282,123
20:21:58.655,,1111,298,190
20:21:58.693,,732,410,227
20:21:58.730,,642,415,221
20:21:58.767,,744,396,159
20:21:58.804,,847,392,126
20:21:58.894,,859,333,23
20:21:58.894,,859,333,23
20:21:58.915,,914,326,20
20:21:58.952,,976,322,46
20:21:58.989,,1030,308,183
20:21:59.026,,1084,242,187
20:21:59.063,,1069,270,209
20:21:59.100,,1043,345,287
20:21:59.137,,1054,366,368
20:21:59.174,,1176,174,175
20:21:59.211,,1302,145,2
20:21:59.248,,1083,330,195
20:21:59.286,,870,527,411
20:21:59.323,,605,212,392
20:21:59.360,,573,154,109
20:21:59.397,,784,255,96
20:21:59.434,,816,329,152
20:21:59.471,,719,330,139
20:21:59.508,,735,269,143
20:21:59.545,,778,257,166
20:21:59.632,,802,311,247
20:21:59.633,,802,311,247
20:21:59.656,,828,233,273
20:21:59.693,,886,266,304
20:21:59.730,,837,315,392
20:21:59.767,,791,273,400
20:21:59.804,,793,234,304
20:21:59.842,,1113,328,251
20:21:59.879,,1273,482,282
20:21:59.916,,1368,406,139
20:21:59.953,,1219,413,178
20:21:59.990,,789,357,169
20:22:00.027,,664,357,93
20:22:00.064,,826,440,51
20:22:00.101,,875,467,56
20:22:00.138,,882,427,53
