Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
01:02:23.193,,820,544,74
01:02:23.230,,892,524,125
01:02:23.267,,872,438,131
01:02:23.304,,800,398,101
01:02:23.341,,787,420,55
01:02:23.378,,787,446,63
01:02:23.415,,792,458,60
01:02:23.452,,762,524,111
01:02:23.489,,717,597,106
01:02:23.526,,728,528,139
01:02:23.564,,721,563,118
01:02:23.601,,680,606,102
01:02:23.638,,707,613,71
01:02:23.675,,769,646,54
01:02:23.712,,781,610,14
01:02:23.749,,840,582,-18
01:02:23.786,,870,585,-7
01:02:23.823,,829,628,9
01:02:23.860,,842,539,-36
01:02:23.897,,861,475,-66
01:02:23.934,,828,462,-103
01:02:23.971,,814,451,-104
01:02:24.008,,836,503,-115
01:02:24.045,,821,538,-114
01:02:24.082,,802,532,-111
01:02:24.119,,773,524,-108
01:02:24.156,,758,525,-103
01:02:24.193,,811,556,-110
01:02:24.230,,831,592,-96
01:02:24.268,,814,559,-74
01:02:24.305,,806,569,-23
01:02:24.342,,809,555,9
01:02:24.379,,894,479,13
01:02:24.416,,980,460,41
01:02:24.453,,1021,409,69
01:02:24.490,,970,349,64
01:02:24.527,,916,337,90
01:02:24.564,,915,411,109
01:02:24.601,,899,423,99
01:02:24.638,,920,298,86
01:02:24.675,,901,313,98
01:02:24.712,,820,277,84
01:02:24.749,,832,304,60
01:02:24.786,,797,350,84
01:02:24.823,,770,407,89
01:02:24.860,,761,424,130
01:02:24.897,,785,403,160
01:02:24.934,,792,400,163
01:02:24.972,,816,383,181
01:02:25.009,,987,431,166
01:02:25.046,,971,427,92
01:02:25.083,,860,406,59
01:02:25.120,,944,444,43
01:02:25.157,,977,442,0
01:02:25.194,,1011,447,-18
01:02:25.231,,988,423,-24
01:02:25.268,,913,411,24
01:02:25.305,,894,422,35
01:02:25.342,,909,379,2
01:02:25.379,,916,373,17
01:02:25.416,,921,385,42
01:02:25.453,,935,377,42
01:02:25.490,,926,367,65
01:02:25.527,,890,341,63
01:02:25.564,,935,376,41
01:02:25.601,,991,409,38
01:02:25.638,,938,430,83
01:02:25.675,,923,423,123
01:02:25.712,,918,415,128
01:02:25.750,,903,368,124
01:02:25.787,,906,300,110
01:02:25.824,,892,288,140
01:02:25.861,,860,324,135
01:02:25.898,,859,356,154
01:02:25.935,,874,337,158
01:02:25.972,,854,316,155
01:02:26.009,,854,321,168
01:02:26.046,,846,313,173
01:02:26.083,,834,315,170
01:02:26.120,,814,342,204
01:02:26.157,,767,384,273
01:02:26.194,,777,401,329
01:02:26.231,,837,408,285
01:02:26.268,,845,469,239
01:02:26.305,,900,482,185
01:02:26.342,,936,520,107
01:02:26.379,,800,514,55
01:02:26.416,,838,484,2
01:02:26.453,,899,503,-20
01:02:26.490,,982,476,-62
01:02:26.528,,995,453,-60
01:02:26.565,,965,438,-41
01:02:26.602,,893,441,-12
01:02:26.639,,859,415,14
01:02:26.676,,871,406,50
01:02:26.713,,889,412,39
01:02:26.750,,879,444,73
01:02:26.787,,866,459,105
01:02:26.824,,902,434,100
01:02:26.861,,1020,380,81
01:02:26.898,,1023,375,192
01:02:26.935,,1007,417,451
01:02:26.972,,1081,439,389
01:02:27.009,,957,334,263
01:02:27.046,,795,258,205
01:02:27.083,,810,327,208
01:02:27.120,,887,392,181
01:02:27.157,,857,411,116
01:02:27.194,,800,422,155
01:02:27.231,,781,387,144
01:02:27.269,,788,363,126
01:02:27.306,,766,377,138
01:02:27.343,,735,374,157
01:02:27.380,,738,380,187
01:02:27.417,,751,395,227
01:02:27.454,,743,415,250
01:02:27.491,,767,393,283
01:02:27.528,,806,387,262
01:02:27.565,,825,404,320
01:02:27.602,,815,370,337
01:02:27.639,,1043,389,311
01:02:27.676,,1003,451,261
01:02:27.713,,853,413,191
01:02:27.750,,957,434,162
01:02:27.787,,1063,503,96
01:02:27.824,,1052,448,46
01:02:27.861,,935,469,60
01:02:27.898,,913,454,15
01:02:27.936,,921,480,32
01:02:27.973,,884,432,35
01:02:28.010,,844,392,98
01:02:28.047,,848,431,83
01:02:28.084,,833,421,105
01:02:28.121,,829,431,138
01:02:28.158,,841,422,156
01:02:28.195,,829,415,175
01:02:28.232,,810,426,174
01:02:28.269,,811,427,187
01:02:28.306,,840,406,224
01:02:28.343,,1005,387,185
01:02:28.380,,963,429,204
01:02:28.417,,899,445,291
01:02:28.454,,1042,441,362
01:02:28.491,,993,319,230
01:02:28.528,,841,285,183
01:02:28.565,,836,309,153
01:02:28.603,,897,307,63
01:02:28.640,,883,333,94
01:02:28.677,,800,423,156
01:02:28.714,,761,393,143
01:02:28.751,,765,296,123
01:02:28.788,,786,366,149
01:02:28.825,,771,416,166
01:02:28.862,,778,358,189
01:02:28.899,,762,369,273
01:02:28.936,,773,380,285
01:02:28.973,,830,353,281
01:02:29.010,,956,475,266
01:02:29.047,,1136,457,207
01:02:29.084,,875,463,176
01:02:29.121,,1017,496,115
01:02:29.158,,1109,470,45
01:02:29.195,,945,456,6
01:02:29.232,,769,456,46
01:02:29.269,,803,469,32
01:02:29.307,,898,435,-29
01:02:29.344,,910,395,-17
01:02:29.381,,863,413,-12
01:02:29.418,,816,385,-11
01:02:29.455,,790,432,-25
01:02:29.492,,840,463,-11
01:02:29.529,,879,424,25
01:02:29.566,,908,420,29
01:02:29.603,,958,450,57
01:02:29.640,,959,442,85
01:02:29.677,,981,414,86
01:02:29.714,,1069,396,26
01:02:29.751,,1031,415,68
01:02:29.788,,995,494,177
01:02:29.825,,941,428,226
01:02:29.862,,810,300,159
01:02:29.899,,734,353,173
01:02:29.936,,773,373,179
01:02:29.974,,842,383,162
01:02:30.011,,844,378,181
01:02:30.048,,806,341,172
01:02:30.085,,795,348,196
01:02:30.122,,816,337,161
01:02:30.159,,787,334,170
01:02:30.196,,754,361,181
01:02:30.233,,730,356,190
01:02:30.270,,726,360,208
01:02:30.307,,767,380,254
01:02:30.344,,812,378,247
01:02:30.381,,977,432,216
01:02:30.418,,1034,487,200
01:02:30.455,,894,477,141
01:02:30.492,,907,506,74
01:02:30.529,,976,550,18
01:02:30.566,,976,524,-27
01:02:30.603,,932,477,-40
01:02:30.640,,915,481,-1
01:02:30.677,,886,405,-5
01:02:30.715,,876,360,-2
01:02:30.752,,890,379,-8
01:02:30.789,,886,370,-31
01:02:30.826,,866,369,-35
