Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
00:09:33.340,,1251,705,-78
00:09:33.377,,983,620,-127
00:09:33.401,>Walk,,,
00:09:33.414,,748,538,-4
00:09:33.451,,764,584,-7
00:09:33.489,,829,579,-70
00:09:33.526,,847,512,-72
00:09:33.563,,846,511,-69
00:09:33.600,,860,525,-113
00:09:33.637,,879,524,-150
00:09:33.674,,893,539,-161
00:09:33.711,,872,535,-186
00:09:33.748,,850,511,-216
00:09:33.785,,836,516,-256
00:09:33.822,,770,507,-188
00:09:33.859,,783,562,-53
00:09:33.896,,1009,592,-12
00:09:33.933,,844,603,-39
00:09:33.970,,558,684,253
00:09:34.007,,690,634,322
00:09:34.044,,814,501,116
00:09:34.082,,835,473,65
00:09:34.119,,832,429,96
00:09:34.156,,776,414,36
00:09:34.193,,768,471,0
00:09:34.230,,808,536,-28
00:09:34.267,,828,574,-35
00:09:34.304,,802,564,-37
00:09:34.341,,711,533,-36
00:09:34.378,,667,543,32
00:09:34.415,,728,576,17
00:09:34.452,,993,565,-59
00:09:34.489,,1144,596,-66
00:09:34.526,,1134,610,-53
00:09:34.563,,1202,599,-97
00:09:34.600,,1031,562,-83
00:09:34.637,,933,524,2
00:09:34.674,,859,513,-13
00:09:34.712,,811,484,-50
00:09:34.749,,855,490,-58
00:09:34.786,,874,518,-129
00:09:34.823,,841,583,-178
00:09:34.860,,793,663,-206
00:09:34.897,,696,710,-226
00:09:34.934,,584,775,-232
00:09:34.971,,438,852,-246
00:09:35.008,,346,898,-183
00:09:35.045,,337,891,-160
00:09:35.082,,353,867,-113
00:09:35.119,,355,816,-2
00:09:35.156,,457,776,28
00:09:35.193,,571,718,14
00:09:35.230,,503,685,64
00:09:35.267,,517,597,156
00:09:35.305,,592,560,188
00:09:35.342,,708,475,120
00:09:35.379,,884,387,63
00:09:35.416,,1077,466,36
00:09:35.453,,1032,493,-6
00:09:35.490,,914,502,20
00:09:35.527,,877,507,45
00:09:35.564,,884,525,16
00:09:35.601,,876,531,58
00:09:35.638,,849,517,89
00:09:35.675,,808,556,92
00:09:35.712,,776,567,159
00:09:35.749,,741,588,185
00:09:35.786,,799,622,233
00:09:35.823,,830,547,160
00:09:35.861,,789,513,151
00:09:35.898,,1028,608,168
00:09:35.935,,1351,705,88
00:09:35.972,,1132,603,3
00:09:36.009,,827,467,39
00:09:36.046,,775,477,75
00:09:36.083,,972,564,27
00:09:36.120,,1107,523,-36
00:09:36.157,,1035,353,-90
00:09:36.194,,904,350,-74
00:09:36.231,,880,452,-79
00:09:36.268,,898,467,-113
00:09:36.305,,886,482,-92
00:09:36.342,,833,547,-86
00:09:36.379,,728,698,-61
00:09:36.416,,589,741,36
00:09:36.453,,461,768,105
00:09:36.491,,387,780,177
00:09:36.528,,348,738,170
00:09:36.565,,353,722,174
00:09:36.602,,408,726,186
00:09:36.639,,518,677,162
00:09:36.676,,725,661,126
00:09:36.713,,932,671,93
00:09:36.750,,713,562,140
00:09:36.787,,728,521,248
00:09:36.824,,1007,533,164
00:09:36.861,,1120,498,33
00:09:36.898,,995,402,84
00:09:36.935,,887,421,144
00:09:36.972,,797,439,90
00:09:37.009,,787,470,69
00:09:37.046,,802,519,144
00:09:37.084,,762,518,123
00:09:37.121,,730,550,170
00:09:37.158,,723,554,209
00:09:37.195,,795,522,190
00:09:37.232,,844,501,166
00:09:37.269,,838,452,125
00:09:37.306,,815,402,79
00:09:37.343,,907,365,42
00:09:37.380,,1197,423,30
00:09:37.417,,1301,518,14
00:09:37.454,,1104,409,2
00:09:37.491,,858,371,79
00:09:37.528,,711,422,123
00:09:37.565,,863,471,77
00:09:37.602,,997,469,3
00:09:37.640,,975,423,-31
00:09:37.677,,823,429,-23
00:09:37.714,,771,475,11
00:09:37.751,,799,540,-21
00:09:37.788,,835,560,-55
00:09:37.825,,838,553,-32
00:09:37.862,,796,613,-34
00:09:37.899,,736,617,-22
00:09:37.936,,658,585,0
00:09:37.973,,582,576,37
00:09:38.010,,557,576,99
00:09:38.047,,763,576,80
00:09:38.084,,1014,603,22
00:09:38.121,,1038,591,15
00:09:38.158,,786,579,132
00:09:38.195,,780,584,248
00:09:38.232,,917,492,134
00:09:38.270,,1001,405,7
00:09:38.307,,968,401,55
00:09:38.344,,836,381,31
00:09:38.381,,738,390,34
00:09:38.418,,716,412,35
00:09:38.455,,697,436,28
00:09:38.492,,719,440,62
