AccX [mg],AccY,AccZ,Ground Truth
894,324,210,-1
870,337,232,-1
859,345,254,-1
871,393,301,-1
882,321,335,-1
878,342,317,-1
878,308,334,-1
868,306,320,-1
865,334,326,-1
868,384,333,-1
854,335,333,-1
873,339,327,-1
866,337,319,-1
868,350,285,-1
876,348,273,-1
863,364,262,-1
871,354,268,-1
890,309,289,-1
873,323,312,-1
880,365,287,-1
850,393,267,-1
865,349,279,-1
880,328,308,-1
880,301,316,-1
868,336,293,-1
867,349,303,-1
875,345,299,-1
869,358,300,-1
867,355,290,-1
880,347,302,-1
859,377,282,-1
842,386,288,-1
889,304,315,-1
885,349,318,-1
860,333,290,-1
873,357,268,-1
863,393,260,-1
867,373,263,-1
871,370,266,-1
858,364,293,-1
851,378,307,-1
842,372,319,-1
856,394,333,-1
859,375,329,-1
883,332,315,-1
843,359,271,-1
834,361,311,-1
873,384,304,-1
875,359,301,-1
867,393,272,-1
859,388,261,-1
861,363,271,-1
858,367,288,-1
858,365,309,-1
855,371,324,-1
857,357,332,-1
848,372,320,-1
851,384,309,-1
858,363,316,-1
859,377,307,-1
861,363,296,-1
858,374,295,-1
855,377,292,-1
860,384,304,-1
856,378,300,-1
849,381,299,-1
849,376,308,-1
850,360,330,-1
846,366,350,-1
852,374,342,-1
845,380,339,-1
859,369,315,-1
852,360,298,-1
870,368,269,-1
863,351,275,-1
872,389,256,-1
866,392,254,-1
864,362,271,-1
884,348,288,-1
875,349,293,-1
860,333,287,-1
871,343,277,-1
888,368,270,-1
861,360,262,-1
881,368,254,-1
879,342,278,-1
871,338,279,-1
871,371,265,-1
885,273,271,-1
910,364,250,-1
848,348,266,-1
867,357,271,-1
883,349,315,-1
891,322,310,-1
879,325,291,-1
886,351,280,-1
875,357,253,-1
871,393,253,-1
868,396,287,-1
875,437,310,-1
874,419,346,-1
902,515,267,-1
825,485,250,-1
793,399,311,-1
756,282,368,-1
716,226,420,-1
725,369,642,-1
714,484,650,-1
700,129,605,-1
809,178,606,-1
746,366,547,-1
728,270,655,-1
722,232,638,-1
656,194,705,-1
621,264,797,-1
555,225,704,-1
643,452,829,-1
572,210,600,-1
603,541,795,-1
555,358,670,-1
621,438,743,-1
650,303,643,-1
719,240,675,-1
636,259,774,-1
598,188,773,-1
763,119,636,-1
770,145,696,-1
797,171,580,-1
742,139,590,-1
741,243,522,-1
798,208,469,-1
815,234,533,-1
815,272,558,-1
755,189,576,-1
759,288,689,-1
845,223,668,-1
918,303,767,-1
613,65,644,-1
683,-96,524,-1
690,85,539,-1
823,119,760,-1
850,5,719,-1
1180,-40,374,-1
821,297,527,-1
343,321,695,-1
132,153,573,-1
33,-251,269,-1
316,365,683,-1
1985,-138,-220,-1
-469,170,656,-1
965,581,757,-1
846,123,273,-1
715,425,742,-1
785,316,465,-1
507,389,651,-1
861,251,521,-1
907,557,340,-1
777,186,567,-1
722,233,645,-1
859,142,991,-1
928,291,823,-1
1178,265,687,-1
1301,-220,277,-1
1075,248,492,-1
694,54,544,-1
185,50,413,-1
183,-49,461,-1
-124,-215,114,-1
-453,-598,-319,-1
-68,888,1127,-1
686,543,1047,-1
1718,-711,605,-1
-1271,371,-39,-1
912,758,822,-1
1369,-129,-91,-1
736,93,563,-1
801,753,739,-1
355,152,456,-1
685,621,540,-1
1041,155,829,-1
619,583,759,-1
837,407,671,-1
1422,445,551,-1
1018,433,714,-1
419,230,682,-1
96,137,416,-1
-59,-146,174,-1
-423,-598,-899,-1
-1494,-3,1445,-1
157,756,611,-1
-1197,763,132,-1
328,215,660,-1
811,158,126,-1
473,198,504,-1
101,-102,-415,-1
-1018,-88,1061,-1
937,812,1769,-1
181,-487,767,-1
-491,768,545,-1
458,619,670,-1
1547,132,-178,-1
586,637,711,-1
-308,-377,138,-1
-957,-512,1004,-1
-721,46,844,-1
1392,-2,1477,-1
-972,275,-632,-1
-680,624,921,-1
966,1117,703,-1
870,-773,393,-1
317,857,1009,-1
374,370,832,-1
539,429,847,-1
801,482,854,-1
503,300,752,-1
515,444,636,-1
542,134,668,-1
594,282,593,-1
648,327,585,-1
601,340,651,-1
556,297,596,-1
596,328,612,-1
588,376,899,-1
602,340,720,-1
676,358,654,-1
504,365,843,-1
538,336,753,-1
542,320,737,-1
456,333,883,-1
487,356,842,-1
503,318,842,-1
481,321,817,-1
484,274,835,-1
443,284,860,-1
424,263,863,-1
422,330,897,-1
390,223,813,-1
72,-46,1083,-1
462,9,1065,-1
642,941,609,-1
686,-300,949,-1
496,555,533,-1
528,326,851,-1
297,311,839,-1
303,199,845,-1
172,234,1347,-1
539,325,650,-1
643,369,825,-1
536,285,653,-1
421,466,852,-1
385,285,836,-1
398,356,920,-1
465,232,862,-1
456,304,848,-1
508,329,827,-1
450,318,806,-1
413,348,851,-1
367,292,880,-1
353,302,887,-1
356,330,880,-1
369,350,864,-1
363,381,845,-1
336,326,844,-1
298,361,915,-1
218,255,940,-1
238,292,968,-1
196,249,963,-1
209,265,953,-1
208,299,954,-1
220,322,919,-1
203,342,926,-1
175,372,913,-1
159,373,932,-1
150,371,917,-1
155,355,927,-1
176,363,922,-1
182,379,894,-1
180,398,897,-1
150,405,897,-1
137,432,897,-1
71,400,939,-1
92,425,958,-1
101,392,909,-1
123,373,919,-1
141,377,945,-1
137,328,893,-1
155,390,961,-1
125,404,876,-1
81,426,942,-1
75,449,939,-1
120,442,892,-1
135,452,925,-1
91,461,912,-1
160,514,913,-1
110,470,860,-1
143,470,829,-1
92,355,924,-1
210,451,946,-1
191,419,787,-1
383,441,861,-1
740,308,513,-1
449,217,591,-1
39,649,1410,-1
-100,674,901,-1
422,903,569,-1
196,564,676,-1
209,523,747,-1
169,505,917,-1
266,439,920,-1
385,482,842,-1
520,473,639,-1
526,595,730,-1
367,616,856,-1
410,740,748,-1
384,673,658,-1
411,434,562,-1
338,356,851,-1
393,343,928,-1
417,439,858,-1
676,179,676,-1
339,556,713,-1
1064,409,548,-1
857,74,552,-1
628,466,450,-1
866,436,815,-1
709,431,802,-1
760,406,768,-1
727,229,704,-1
763,50,638,-1
614,81,518,-1
813,349,731,-1
822,242,544,-1
1138,361,643,-1
1343,170,414,-1
1510,74,118,-1
1518,318,413,-1
1131,320,384,-1
866,549,260,-1
732,985,-193,-1
736,1495,-114,-1
618,1910,124,-1
68,1748,23,-1
-121,1119,206,-1
-96,544,411,-1
389,353,846,-1
604,487,1302,-1
473,403,1495,-1
660,104,828,-1
890,-345,857,-1
991,98,1144,-1
1224,-725,240,-1
914,-254,323,-1
804,330,550,-1
740,-102,395,-1
944,-83,413,-1
968,-51,435,-1
914,-5,466,-1
870,-73,526,-1
891,-75,523,-1
837,-96,493,-1
857,-83,524,-1
843,-85,504,-1
851,-85,512,-1
819,-126,490,-1
847,-44,568,-1
835,-108,493,-1
846,-102,514,-1
845,-106,494,-1
871,-32,547,-1
861,-91,509,-1
848,-94,509,-1
840,-72,482,-1
787,-76,559,-1
868,-61,503,-1
835,-50,598,-1
856,-36,631,-1
750,-91,533,-1
868,6,543,-1
818,-29,412,-1
764,141,913,-1
774,-59,413,-1
916,-57,441,-1
846,234,712,-1
681,-12,577,-1
745,-112,688,-1
890,334,736,-1
772,231,541,-1
728,49,670,-1
719,172,674,-1
730,230,712,-1
769,-89,643,-1
747,30,497,-1
798,35,451,-1
817,44,547,-1
760,103,438,-1
795,845,473,-1
822,-12,510,-1
815,-125,463,-1
780,21,431,-1
895,7,680,-1
818,189,556,-1
790,166,685,-1
775,237,480,-1
867,273,561,-1
827,183,520,-1
817,289,603,-1
779,244,565,-1
785,234,616,-1
785,241,534,-1
784,269,560,-1
809,287,534,-1
807,331,473,-1
820,348,454,-1
808,403,405,-1
814,399,427,-1
816,368,484,-1
816,323,420,-1
867,402,538,-1
869,91,342,-1
866,296,250,-1
936,248,423,-1
901,238,292,-1
855,312,440,-1
781,320,634,-1
722,247,855,-1
431,519,874,-1
279,730,899,-1
67,680,582,-1
139,820,205,-1
328,898,-195,-1
459,765,-350,-1
694,896,-285,-1
798,379,-147,-1
882,-388,310,-1
1085,1026,996,-1
527,675,529,-1
642,754,523,-1
699,628,394,-1
676,631,299,-1
688,609,394,-1
663,682,382,-1
657,600,317,-1
653,653,390,-1
641,650,410,-1
