AccX [mg],AccY,AccZ,Ground Truth
501,673,568,2
501,666,560,2
498,663,532,2
497,659,545,2
503,657,548,2
502,648,537,2
500,660,550,2
495,650,556,2
500,612,556,2
488,631,550,2
525,624,571,2
526,717,594,2
453,655,538,2
465,620,473,2
499,670,502,2
499,670,502,2
499,670,502,2
492,720,438,2
477,823,435,2
509,854,464,2
640,808,598,2
555,597,648,2
659,604,614,2
536,655,716,2
425,694,582,2
227,446,321,2
603,-151,376,2
593,-14,1183,2
317,-60,742,2
348,1298,743,2
342,400,836,2
543,-180,729,2
563,101,758,2
538,909,945,2
383,399,725,2
383,399,725,2
439,492,760,2
485,263,927,2
529,375,1131,2
496,236,701,2
487,686,603,2
418,862,648,2
418,660,728,2
470,370,739,2
418,433,739,2
469,510,630,2
619,296,664,2
527,417,760,2
403,248,916,2
339,432,721,2
374,463,681,2
463,501,558,2
584,1308,655,2
433,313,608,2
433,313,608,2
492,-111,792,2
644,456,749,2
508,559,657,2
446,665,748,2
300,736,740,2
436,127,653,2
531,421,566,2
532,817,533,2
480,476,457,2
492,772,254,2
468,1098,214,2
506,634,258,2
697,910,241,2
476,935,197,2
370,848,-114,2
491,758,95,2
578,871,-53,2
547,868,-44,2
530,904,178,2
530,904,178,2
410,881,-140,2
496,1231,-366,2
515,735,317,2
390,378,452,2
478,562,813,2
468,838,609,2
432,819,306,2
467,856,419,2
572,617,479,2
551,412,614,2
576,525,713,2
572,597,668,2
449,562,261,2
503,498,409,2
458,406,716,2
361,575,673,2
530,959,469,2
608,414,446,2
608,414,446,2
586,290,682,2
548,547,686,2
632,946,737,2
576,894,573,2
634,437,576,2
453,605,671,2
481,233,430,2
520,684,401,2
402,862,206,2
800,646,285,2
762,454,417,2
612,875,305,2
448,1214,100,2
357,1384,-33,2
172,499,-56,2
516,713,307,2
678,533,494,2
665,741,280,2
531,912,115,2
531,912,115,2
376,788,70,2
480,775,-177,2
515,842,102,2
534,851,317,2
556,980,105,2
476,844,-59,2
478,752,50,2
506,705,55,2
636,824,134,2
565,680,101,2
540,862,261,2
596,827,202,2
617,933,24,2
514,791,203,2
525,422,272,2
613,856,-198,2
562,1021,-210,2
590,595,-41,2
596,766,-159,2
596,766,-159,2
696,920,-72,2
629,608,101,2
497,764,-281,2
608,923,-295,2
721,495,157,2
498,932,142,2
326,731,-325,2
553,1094,-552,2
558,945,-165,2
605,804,-68,2
554,941,-244,2
663,848,-79,2
623,336,329,2
520,779,-79,2
442,870,-369,2
611,1122,60,2
549,701,274,2
501,689,50,2
574,863,95,2
574,863,95,2
504,1016,93,2
522,865,6,2
499,676,124,2
434,655,56,2
432,911,130,2
489,1011,113,2
557,599,-15,2
546,738,-196,2
404,890,-33,2
537,627,226,2
545,902,110,2
545,1258,-74,2
404,926,-144,2
498,447,133,2
583,871,-159,2
505,1064,-102,2
496,799,91,2
537,731,50,2
652,802,-35,2
569,634,-10,2
513,791,-72,2
511,1195,-188,2
555,578,-56,2
597,766,-113,2
534,969,-132,2
521,850,53,2
642,744,44,2
583,870,-238,2
434,780,-161,2
441,576,143,2
514,901,188,2
532,800,-148,2
474,1025,-299,2
591,928,-165,2
553,555,88,2
516,922,-147,2
535,1079,-314,2
493,609,-145,2
559,641,16,2
615,954,129,2
541,732,158,2
676,652,70,2
612,682,-225,2
436,1028,-355,2
510,969,-40,2
534,790,1,2
605,676,4,2
534,775,-18,2
485,833,-155,2
433,983,-262,2
553,739,-281,2
535,781,-148,2
655,972,100,2
628,723,-33,2
513,552,-72,2
548,995,-109,2
524,820,-261,2
550,429,-90,2
437,953,-428,2
627,998,-200,2
531,746,-137,2
423,799,-392,2
639,732,-86,2
556,780,-219,2
552,999,-218,2
483,534,113,2
472,1483,-504,2
281,725,-241,2
631,234,33,2
704,848,-130,2
459,828,-420,2
491,839,-128,2
588,1031,-100,2
536,736,-316,2
371,688,-181,2
564,794,-127,2
568,889,-112,2
602,799,-238,2
533,810,-149,2
499,838,-115,2
509,778,-141,2
580,653,-93,2
701,747,61,2
642,740,-162,2
533,719,-158,2
520,1403,-638,2
474,752,34,2
662,245,294,2
726,851,-96,2
569,1232,-284,2
758,946,224,2
1341,1259,473,2
167,-824,442,2
-82,31,513,2
291,1540,348,2
208,467,307,2
461,562,561,2
321,567,280,2
322,1385,17,2
216,1289,-190,2
200,882,-42,2
287,1190,-64,2
242,859,13,2
225,793,269,2
239,367,297,2
366,462,599,2
513,1053,780,2
473,651,921,2
511,519,902,2
263,589,643,2
406,680,791,2
271,1029,736,2
375,670,300,2
306,387,488,2
383,386,832,2
180,697,568,2
498,761,867,2
177,96,734,2
343,911,649,2
252,640,775,2
306,270,915,2
431,220,1029,2
334,215,1044,2
287,297,960,2
295,549,845,2
368,-58,767,2
442,631,764,2
193,153,1013,2
290,143,854,2
563,424,748,2
423,504,851,2
243,173,993,2
220,325,873,2
350,572,944,2
334,300,1004,2
399,265,769,2
331,377,927,2
288,397,948,2
207,60,944,2
401,37,775,2
414,196,892,2
