AccX [mg],AccY,AccZ,Ground Truth
434,419,576,2
488,744,486,2
649,630,599,2
713,663,535,2
541,703,503,2
623,874,429,2
588,764,300,2
493,800,247,2
432,851,89,2
358,940,125,2
256,942,146,2
185,1021,162,2
197,1120,196,2
68,872,122,2
1,843,-20,2
-175,941,-23,2
130,868,244,2
449,650,574,2
553,72,-77,2
558,1472,-199,2
539,1927,-160,2
426,1095,-456,2
323,-15,276,2
723,1234,482,2
629,785,495,2
628,662,797,2
269,184,977,2
105,102,680,2
230,424,630,2
480,704,552,2
581,938,494,2
442,261,881,2
175,553,455,2
319,668,582,2
331,686,649,2
331,775,598,2
251,725,529,2
318,871,470,2
213,916,32,2
599,1764,376,2
466,631,266,2
488,1041,210,2
323,848,328,2
421,72,497,2
485,-268,405,2
724,268,144,2
1024,1187,469,2
760,1706,-25,2
680,-395,507,2
729,-80,835,2
988,959,342,2
967,622,422,2
729,248,602,2
711,476,567,2
721,422,483,2
753,-104,519,2
930,120,649,2
854,-82,601,2
601,-433,244,2
779,-379,800,2
944,-153,1377,2
988,-440,712,2
701,-81,928,2
384,-371,398,2
320,673,283,2
381,324,641,2
354,302,445,2
385,706,433,2
244,1347,685,2
58,584,408,2
-6,911,74,2
107,1269,-222,2
18,997,-16,2
149,969,-291,2
205,874,-232,2
224,977,-255,2
269,917,-446,2
234,445,-482,2
301,895,-573,2
280,709,-672,2
262,590,-815,2
238,831,-694,2
224,766,-697,2
40,377,-669,2
-99,671,-444,2
-172,1069,-639,2
-192,800,-472,2
132,951,-468,2
671,587,-292,2
1168,1247,-214,2
1415,580,-139,2
685,960,15,2
562,980,-71,2
417,693,87,2
462,458,-202,2
489,402,65,2
123,723,-45,2
524,1174,-382,2
609,824,-159,2
499,534,-160,2
376,1129,-363,2
418,1091,-332,2
469,706,21,2
567,888,-55,2
552,754,-245,2
511,636,-97,2
470,942,-157,2
363,1141,-373,2
329,791,-464,2
430,202,43,2
567,1013,-223,2
472,891,6,2
477,843,-215,2
462,936,-471,2
443,961,-399,2
478,693,-263,2
478,804,-232,2
468,790,-339,2
494,831,-194,2
478,740,-110,2
549,910,-55,2
538,667,-50,2
488,733,-92,2
560,910,-41,2
664,639,12,2
511,645,-279,2
624,907,-412,2
426,944,-480,2
336,759,-432,2
404,879,-402,2
492,1009,-9,2
651,838,41,2
720,491,79,2
952,1313,194,2
366,604,179,2
408,428,195,2
650,1104,283,2
599,585,325,2
547,895,462,2
622,810,698,2
493,587,733,2
152,932,618,2
62,446,735,2
18,315,666,2
60,865,159,2
535,1002,442,2
785,-264,763,2
687,291,886,2
437,859,697,2
706,-61,828,2
377,432,835,2
290,681,485,2
396,857,699,2
713,53,779,2
532,407,427,2
564,384,684,2
461,716,622,2
195,1840,648,2
608,-44,698,2
321,513,631,2
568,377,672,2
584,340,679,2
448,672,218,2
502,766,628,2
461,609,1132,2
419,510,859,2
360,232,842,2
500,304,1034,2
505,795,919,2
286,682,693,2
138,-5,562,2
350,-34,950,2
365,786,966,2
343,535,455,2
665,91,613,2
610,874,814,2
457,1422,687,2
323,317,746,2
107,-59,906,2
260,706,963,2
411,718,665,2
421,293,766,2
472,223,953,2
567,382,895,2
543,549,536,2
457,245,495,2
37,682,1215,2
-204,358,1008,2
529,322,1014,2
769,238,493,2
620,975,110,2
316,1113,1029,2
99,540,1243,2
110,-380,597,2
314,131,642,2
624,811,1055,2
662,602,854,2
338,311,593,2
122,466,768,2
300,860,954,2
231,863,914,2
246,388,1007,2
412,32,636,2
440,861,423,2
473,832,1138,2
549,470,675,2
291,62,465,2
593,684,1046,2
122,509,887,2
249,419,514,2
107,293,883,2
624,356,1219,2
281,916,727,2
460,-40,555,2
797,137,796,2
590,469,797,2
422,750,727,2
17,567,756,2
-32,384,947,2
283,164,857,2
406,365,415,2
515,1425,391,2
484,751,536,2
438,638,321,2
449,1303,345,2
686,941,177,2
627,497,626,2
470,376,769,2
408,896,460,2
694,801,295,2
