AccX [mg],AccY,AccZ,Ground Truth
78,-115,901,3
65,-151,923,3
36,-108,910,3
3,-113,895,3
-4,-165,899,3
-21,-139,898,3
-16,-145,942,3
-5,-131,987,3
1,-110,1029,3
-11,-76,1021,3
6,-119,1055,3
-14,-79,1026,3
-30,-42,1053,3
-25,-112,1078,3
-28,-89,1043,3
-15,-120,1061,3
10,-171,1042,3
15,-153,1009,3
38,-187,1050,3
40,-219,985,3
46,-240,996,3
62,-283,997,3
53,-268,958,3
77,-283,989,3
76,-260,962,3
47,-190,980,3
36,-162,1000,3
38,-187,969,3
32,-210,1021,3
23,-219,1007,3
28,-228,1015,3
24,-143,989,3
36,-132,968,3
54,-214,998,3
37,-190,960,3
43,-175,1030,3
41,-163,1000,3
35,-129,994,3
39,-105,990,3
22,-151,964,3
10,-107,995,3
0,-99,1001,3
6,-134,987,3
-18,-123,980,3
-19,-101,991,3
14,-154,1002,3
-3,-169,1012,3
-11,-152,1016,3
-44,-159,990,3
-55,-214,993,3
-57,-239,991,3
-70,-225,998,3
-71,-219,1033,3
-88,-259,1028,3
-101,-261,1015,3
-99,-241,1002,3
-73,-267,1000,3
-80,-276,974,3
-59,-189,984,3
-54,-190,962,3
-45,-230,966,3
-56,-252,991,3
-66,-238,1012,3
-70,-209,1018,3
-84,-205,1028,3
-99,-209,982,3
-119,-213,963,3
-159,-197,978,3
-176,-211,1001,3
-191,-244,1021,3
-218,-227,1002,3
-224,-247,994,3
-237,-279,1009,3
-210,-258,993,3
-173,-271,996,3
-155,-286,973,3
-158,-298,917,3
-141,-343,956,3
-123,-340,964,3
-134,-327,967,3
-119,-355,991,3
-118,-331,954,3
-117,-318,1009,3
-130,-333,1013,3
-146,-290,1003,3
-171,-269,1007,3
-186,-297,962,3
-190,-235,908,3
-187,-203,948,3
-197,-186,941,3
-211,-175,948,3
-215,-201,1019,3
-212,-161,983,3
-183,-162,1011,3
-165,-158,1039,3
-142,-172,998,3
-104,-163,1035,3
-92,-188,1019,3
-83,-202,1038,3
-71,-213,1029,3
-68,-216,1010,3
-48,-257,1017,3
-41,-150,964,3
-24,-104,987,3
-2,-95,1040,3
14,-95,1025,3
35,-95,1060,3
29,-92,1031,3
9,-130,1032,3
-6,-93,974,3
-19,-110,982,3
-4,-113,991,3
6,-103,1001,3
-6,-64,1005,3
-8,-79,997,3
-12,-46,1003,3
-20,-55,1006,3
-10,-85,1035,3
25,-74,1031,3
-3,0,1055,3
26,-198,961,3
22,-198,967,3
61,-222,1049,3
90,-320,993,3
135,-380,1181,3
112,-206,1105,3
165,-463,1105,3
-12,-354,1103,3
69,-515,937,3
-84,-364,805,3
-157,-290,683,3
-194,-181,607,3
-202,-317,560,3
-75,-293,741,3
-13,-46,920,3
-38,-375,1047,3
34,-499,1160,3
-26,-421,1056,3
-86,-414,944,3
20,-697,908,3
-63,-599,926,3
-105,-504,885,3
-124,-450,888,3
-124,-494,916,3
-150,-493,898,3
-195,-531,892,3
-179,-457,878,3
-193,-402,891,3
-198,-357,935,3
-183,-290,988,3
-193,-279,974,3
-198,-332,1021,3
-183,-313,957,3
-191,-256,986,3
-148,-336,968,3
-161,-356,949,3
-158,-375,968,3
-182,-370,942,3
-179,-429,984,3
-198,-444,941,3
-179,-394,949,3
-178,-424,958,3
-168,-335,910,3
-175,-328,948,3
-179,-337,944,3
-202,-296,947,3
-221,-284,969,3
-225,-283,959,3
-237,-241,958,3
-230,-254,993,3
-238,-264,1000,3
-190,-243,1005,3
-262,-218,970,3
-219,-229,970,3
-229,-221,1029,3
-264,-331,997,3
-230,-29,1026,3
-275,-262,1024,3
-230,-382,958,3
-221,-313,963,3
-227,-257,971,3
-222,-431,1006,3
-333,-421,977,3
-267,-316,959,3
-241,-382,959,3
-216,-419,992,3
-277,-370,972,3
-255,-251,891,3
-279,-293,989,3
-254,-294,948,3
-299,-193,962,3
-272,-273,977,3
-239,-172,968,3
-258,-180,1034,3
-237,-149,1031,3
-202,-100,989,3
-231,-132,972,3
-214,-141,952,3
-226,-113,934,3
-218,-194,1007,3
-203,-247,1010,3
-214,-235,1019,3
-220,-284,1037,3
-201,-303,994,3
-169,-303,1003,3
-161,-344,997,3
-117,-307,990,3
-133,-325,1029,3
-128,-269,986,3
-195,-230,974,3
-215,-255,946,3
-225,-171,921,3
-225,-207,988,3
-228,-200,1018,3
-210,-171,1066,3
-186,-215,1063,3
-141,-189,1022,3
-101,-170,999,3
-89,-180,913,3
-63,-159,875,3
-43,-178,940,3
-28,-172,976,3
-53,-175,1034,3
-101,-158,1051,3
-99,-200,1111,3
-100,-142,997,3
-113,-257,943,3
-120,-156,928,3
-157,-220,1013,3
-150,-240,1008,3
-144,-161,1009,3
-126,-230,941,3
-87,-217,938,3
-71,-203,959,3
-40,-251,1053,3
-49,-236,1060,3
-89,-298,1111,3
-62,-171,915,3
-74,-67,809,3
-72,-261,911,3
-61,-238,933,3
-117,65,952,3
-181,-168,1175,3
-100,-137,999,3
-145,81,933,3
-222,-210,1127,3
-56,-121,946,3
-128,-1,1105,3
-133,-364,1079,3
-80,-187,916,3
-128,-190,1017,3
-96,-326,957,3
-36,-201,954,3
-81,-315,971,3
-39,-258,903,3
-29,-210,952,3
-65,-298,992,3
-39,-161,974,3
-96,-195,1048,3
-107,-231,1003,3
-83,-46,892,3
-127,-116,1016,3
-86,-136,924,3
-107,51,955,3
