AccX [mg],AccY,AccZ,Ground Truth
-113,1070,105,1
-222,1260,-145,1
-214,744,-200,1
-183,539,-29,1
-245,888,245,1
-267,932,527,1
-218,1030,531,1
-192,1072,474,1
-202,1102,474,1
-273,1203,533,1
-532,822,221,1
-560,864,242,1
-190,786,556,1
-413,757,663,1
-413,757,663,1
-413,757,663,1
-510,563,466,1
-439,562,611,1
-579,489,672,1
-459,811,543,1
-534,253,622,1
-550,217,675,1
-304,205,666,1
-408,29,579,1
-405,-49,580,1
-351,-28,694,1
-345,58,906,1
-241,148,688,1
-40,314,580,1
-237,208,878,1
-353,178,808,1
-631,273,597,1
-1015,234,1159,1
-1015,234,1159,1
-1571,-86,1082,1
-692,198,1077,1
-540,556,896,1
-245,37,803,1
-178,-89,964,1
-471,331,1076,1
-511,108,1013,1
-489,-4,896,1
-504,93,964,1
-462,38,974,1
-518,155,886,1
-542,139,867,1
-479,206,872,1
-499,209,874,1
-470,200,839,1
-511,144,730,1
-602,214,915,1
-549,133,831,1
-549,133,831,1
-540,172,873,1
-631,47,927,1
-678,47,961,1
-668,58,959,1
-662,-133,761,1
-546,78,797,1
-608,245,649,1
-502,-253,768,1
-571,-53,754,1
-570,-124,762,1
-633,-204,793,1
-622,-247,789,1
-568,-246,834,1
-644,-318,823,1
-714,-275,879,1
-635,-319,787,1
-566,-394,749,1
-456,-321,780,1
-456,-321,780,1
-501,-308,794,1
-494,-372,788,1
-464,-318,841,1
-367,-373,807,1
-373,-321,791,1
-348,-357,792,1
-348,-409,773,1
-461,-381,828,1
-454,-399,828,1
-479,-427,830,1
-515,-381,903,1
-437,-338,846,1
-408,-381,805,1
-396,-422,823,1
-518,-379,857,1
-530,-337,902,1
-417,-318,790,1
-417,-318,790,1
-461,-344,839,1
-531,-374,736,1
-544,-417,770,1
-634,-384,858,1
-585,-410,854,1
-501,-349,777,1
-504,-345,764,1
-564,-343,755,1
-591,-380,788,1
-590,-360,795,1
-587,-390,821,1
-583,-308,750,1
-500,-339,809,1
-577,-305,790,1
-574,-378,819,1
-563,-388,835,1
-547,-373,819,1
-547,-373,819,1
-509,-325,726,1
-492,-387,782,1
-557,-297,758,1
-377,-658,797,1
-591,-499,730,1
-580,-42,768,1
-581,-60,929,1
-496,-64,744,1
-581,-452,715,1
-385,-71,1051,1
-648,1224,413,1
-554,27,580,1
-314,1365,876,1
-442,193,1270,1
-774,151,669,1
-441,163,800,1
-493,447,895,1
-427,193,705,1
-427,193,705,1
-410,375,847,1
-506,534,900,1
-559,788,762,1
-536,574,746,1
-570,567,712,1
-528,631,642,1
-544,599,600,1
-497,514,672,1
-380,668,685,1
-434,598,643,1
-452,536,706,1
-460,498,781,1
-447,523,756,1
-446,489,716,1
-420,464,696,1
-422,452,638,1
-390,415,627,1
-360,447,631,1
-378,512,694,1
-378,512,694,1
-318,689,899,1
-220,461,764,1
7,403,358,1
27,793,419,1
-155,947,498,1
-273,231,632,1
-203,794,126,1
-386,1226,60,1
-225,895,290,1
-403,980,72,1
-517,965,-11,1
-318,1240,253,1
-259,1063,116,1
-251,976,13,1
-307,1075,-64,1
-239,1084,-188,1
53,1092,-115,1
12,1140,-182,1
-32,1003,-186,1
-28,1203,-159,1
-72,1170,-99,1
23,1249,-127,1
