Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
10:12:00.348,,297,848,622
10:12:00.384,,226,656,485
10:12:00.407,>Bike,,,
10:12:00.421,,380,607,564
10:12:00.457,,342,524,808
10:12:00.493,,300,727,674
10:12:00.529,,270,735,627
10:12:00.566,,278,843,654
10:12:00.602,,276,878,705
10:12:00.638,,230,524,753
10:12:00.675,,235,570,1011
10:12:00.711,,150,443,837
10:12:00.747,,207,535,555
10:12:00.783,,267,613,943
10:12:00.820,,197,414,726
10:12:00.856,,280,874,586
10:12:00.892,,169,278,875
10:12:00.928,,218,911,828
10:12:00.965,,111,567,777
10:12:01.001,,120,800,701
10:12:01.036,,153,871,703
10:12:01.072,,107,927,504
10:12:01.108,,116,812,482
10:12:01.144,,163,744,518
10:12:01.180,,196,712,582
10:12:01.216,,197,834,643
10:12:01.252,,165,791,543
10:12:01.288,,131,923,515
10:12:01.324,,193,820,737
10:12:01.360,,200,659,761
10:12:01.396,,47,743,439
10:12:01.433,,211,669,728
10:12:01.469,,179,485,708
10:12:01.505,,187,600,899
10:12:01.541,,-169,640,1102
10:12:01.578,,54,418,642
10:12:01.614,,274,484,703
10:12:01.650,,142,762,852
10:12:01.686,,109,646,667
10:12:01.722,,73,399,688
10:12:01.759,,98,550,812
10:12:01.794,,184,735,696
10:12:01.830,,116,1076,692
10:12:01.865,,-82,810,367
10:12:01.900,,-43,695,378
10:12:01.935,,149,863,369
10:12:01.969,,159,1339,521
10:12:02.003,,136,1141,574
10:12:02.037,,135,773,23
10:12:02.071,,194,642,41
10:12:02.105,,182,1573,-97
10:12:02.139,,158,752,-85
10:12:02.173,,239,646,69
10:12:02.209,,419,895,-154
10:12:02.244,,542,1422,-728
10:12:02.278,,268,854,-245
10:12:02.312,,243,521,-463
10:12:02.345,,339,895,-164
10:12:02.379,,401,835,195
10:12:02.412,,285,889,47
10:12:02.446,,156,909,-156
10:12:02.481,,139,755,-388
10:12:02.517,,152,805,-446
10:12:02.554,,242,974,-648
10:12:02.590,,247,749,-266
10:12:02.627,,277,984,-382
10:12:02.664,,402,828,-515
10:12:02.700,,261,1044,-537
10:12:02.737,,303,917,-456
10:12:02.773,,184,526,-406
10:12:02.809,,212,737,-352
10:12:02.846,,328,707,-380
10:12:02.881,,101,1079,-359
10:12:02.914,,297,1128,-305
10:12:02.948,,127,755,-174
10:12:02.982,,391,1013,-408
10:12:03.015,,387,791,-3
10:12:03.049,,468,766,75
10:12:03.083,,398,665,-107
10:12:03.117,,445,948,-299
10:12:03.151,,484,960,79
10:12:03.184,,449,1044,-76
10:12:03.218,,-42,749,-501
10:12:03.252,,465,1159,-270
10:12:03.286,,516,1079,-165
10:12:03.320,,483,733,-27
10:12:03.354,,289,688,-181
10:12:03.388,,482,1352,16
10:12:03.423,,311,761,356
10:12:03.459,,234,364,409
10:12:03.494,,436,1315,229
10:12:03.530,,502,1102,666
10:12:03.567,,260,42,762
10:12:03.603,,242,-98,372
10:12:03.639,,371,398,43
10:12:03.675,,672,1212,271
10:12:03.710,,502,701,422
10:12:03.745,,618,841,250
10:12:03.779,,307,1109,375
10:12:03.814,,407,1140,97
10:12:03.848,,380,1008,178
10:12:03.883,,380,886,486
10:12:03.918,,330,850,256
10:12:03.953,,348,1067,301
10:12:03.988,,477,912,402
10:12:04.024,,460,801,419
10:12:04.060,,432,1076,328
10:12:04.096,,516,447,329
10:12:04.133,,594,466,675
10:12:04.169,,537,492,854
10:12:04.205,,220,-162,1195
10:12:04.241,,56,183,1053
10:12:04.277,,-49,158,800
10:12:04.314,,134,422,253
10:12:04.350,,530,1086,591
10:12:04.386,,486,754,556
10:12:04.422,,377,993,328
10:12:04.458,,314,762,367
10:12:04.494,,386,613,793
10:12:04.530,,307,731,713
10:12:04.567,,213,629,580
10:12:04.603,,298,642,558
