AccX [mg],AccY,AccZ,Ground Truth
213,66,960,4
162,-179,712,4
310,-228,1193,4
164,49,1021,4
238,-225,985,4
315,-343,1020,4
235,-364,956,4
226,-261,1081,4
183,-187,1042,4
85,-131,947,4
0,86,922,4
51,141,1031,4
209,-53,986,4
285,-196,854,4
241,-110,990,4
241,-110,990,4
241,-110,990,4
243,-40,1045,4
198,-131,1007,4
143,-138,994,4
169,-158,1013,4
182,-141,996,4
141,-79,1019,4
134,-78,1020,4
136,-175,998,4
141,-192,967,4
137,-133,967,4
128,-88,1005,4
105,11,1041,4
76,-53,985,4
40,-141,893,4
95,-150,945,4
193,-114,1101,4
144,-183,990,4
144,-183,990,4
136,-130,1032,4
104,-89,1028,4
94,28,1032,4
89,15,983,4
94,20,994,4
145,30,1018,4
159,-135,1008,4
162,-233,989,4
133,-120,997,4
120,-74,1009,4
144,-116,996,4
163,-187,939,4
185,-151,936,4
196,-190,1009,4
131,-101,1012,4
79,-130,888,4
192,-270,1007,4
207,-113,923,4
207,-113,923,4
315,-78,1168,4
230,56,1051,4
91,-228,801,4
86,-284,864,4
214,-82,1160,4
163,42,997,4
110,-153,789,4
193,-310,922,4
222,-88,1068,4
199,24,995,4
213,-24,992,4
275,-3,1118,4
321,122,1094,4
260,72,1015,4
199,-80,952,4
183,-178,948,4
231,-108,969,4
246,6,992,4
246,6,992,4
256,-59,977,4
236,-41,1012,4
209,-43,982,4
179,-44,966,4
175,-87,965,4
179,-84,986,4
154,-31,977,4
151,-50,960,4
203,-71,1002,4
206,-96,1001,4
184,64,1029,4
140,116,993,4
171,-113,993,4
180,-75,1007,4
165,45,992,4
177,-18,999,4
149,-45,1000,4
147,17,998,4
158,-36,990,4
158,-36,990,4
157,3,1000,4
163,23,1012,4
155,-23,996,4
155,-12,997,4
161,14,1014,4
163,-2,1010,4
152,0,993,4
154,9,1003,4
152,15,1003,4
154,-5,987,4
159,0,994,4
161,17,1000,4
154,26,981,4
164,2,996,4
164,-8,995,4
153,13,992,4
154,24,1000,4
161,1,1000,4
151,17,995,4
151,17,995,4
152,5,1000,4
151,4,994,4
159,6,1004,4
157,17,1004,4
162,-2,996,4
163,3,1007,4
161,9,1011,4
148,34,998,4
153,12,1000,4
156,-3,996,4
159,-5,1000,4
161,5,1007,4
150,7,997,4
158,10,1007,4
154,2,1000,4
161,-4,1008,4
159,12,999,4
155,3,985,4
162,5,992,4
162,5,992,4
162,0,988,4
164,11,1008,4
151,5,987,4
155,0,997,4
163,12,1005,4
158,-3,990,4
173,-8,1001,4
169,-9,995,4
167,-11,1006,4
161,-1,1000,4
162,3,1004,4
170,-7,1011,4
171,-10,991,4
168,-6,1001,4
167,-12,1002,4
157,0,990,4
165,3,998,4
166,-15,998,4
161,-2,984,4
164,-13,998,4
164,-13,998,4
164,-13,998,4
163,-3,993,4
168,16,1001,4
164,1,1001,4
164,-14,997,4
160,4,1007,4
159,-12,996,4
165,-18,995,4
167,-19,1013,4
157,9,1007,4
142,-1,985,4
156,1,1014,4
164,-24,1008,4
164,-6,999,4
152,10,997,4
151,-15,1009,4
149,0,994,4
151,-4,997,4
152,-12,1004,4
151,-8,993,4
153,3,1000,4
155,-14,1001,4
159,-7,995,4
158,16,1009,4
151,-6,1003,4
150,-18,995,4
149,6,1004,4
136,7,1008,4
128,25,1002,4
131,-3,1004,4
130,-8,1013,4
134,-80,1014,4
135,7,1015,4
116,105,982,4
142,-59,1015,4
140,-46,1017,4
110,55,970,4
130,-20,1025,4
124,-47,1015,4
114,-9,972,4
134,-41,1010,4
112,8,1020,4
111,-59,967,4
129,-138,1022,4
110,19,992,4
106,-24,965,4
133,-32,1005,4
120,-127,1006,4
110,-77,976,4
125,-23,1033,4
101,-63,982,4
109,-137,972,4
86,-124,1030,4
97,-80,1036,4
91,-125,979,4
80,-143,992,4
121,-1,1049,4
125,-75,1000,4
145,-82,1031,4
128,-58,996,4
150,-115,1003,4
131,-62,1020,4
151,-20,1020,4
145,-58,1003,4
128,-48,1029,4
128,-38,1034,4
122,-34,997,4
142,-13,1015,4
158,17,986,4
188,-39,1020,4
162,2,984,4
177,-42,984,4
164,-13,1020,4
156,6,987,4
144,-14,989,4
161,23,1012,4
142,-1,946,4
151,16,1018,4
161,-10,1006,4
172,36,988,4
180,21,976,4
216,-8,982,4
204,25,1012,4
186,27,978,4
170,33,986,4
171,35,1000,4
143,39,984,4
159,32,999,4
162,15,1010,4
150,37,995,4
151,47,989,4
131,63,996,4
174,8,1004,4
170,43,988,4
191,43,1005,4
154,37,1003,4
129,22,1007,4
137,49,995,4
159,32,1009,4
161,55,1031,4
145,-4,955,4
139,80,1027,4
137,15,1008,4
163,37,1003,4
175,56,1014,4
153,41,970,4
175,42,1035,4
146,38,994,4
134,37,984,4
149,49,1020,4
166,2,960,4
169,58,1002,4
182,34,1003,4
151,52,970,4
162,59,1020,4
172,30,986,4
170,41,973,4
162,58,1010,4
148,3,974,4
159,23,1028,4
113,37,985,4
121,20,984,4
128,16,1038,4
90,21,997,4
234,44,1057,4
189,43,955,4
206,80,997,4
215,49,1052,4
127,24,946,4
176,87,1053,4
146,18,962,4
169,67,996,4
220,58,1042,4
179,50,903,4
188,89,1023,4
166,12,984,4
116,14,919,4
181,86,1161,4
168,36,1002,4
145,47,850,4
216,121,1045,4
249,-40,1057,4
146,77,953,4
174,110,969,4
178,43,929,4
246,10,1053,4
165,64,965,4
156,70,1029,4
115,55,1058,4
150,5,915,4
226,121,1022,4
206,38,1048,4
102,40,869,4
206,54,1105,4
189,11,989,4
124,63,876,4
242,146,1203,4
163,-26,927,4
120,100,864,4
254,97,1130,4
175,-40,976,4
133,85,988,4
135,125,946,4
160,-3,951,4
303,6,1168,4
115,98,812,4
184,75,994,4
211,96,1181,4
133,-75,813,4
217,148,982,4
231,92,1097,4
116,-35,905,4
205,84,1033,4
204,28,1007,4
235,31,1002,4
188,156,948,4
158,44,961,4
223,44,1056,4
174,94,921,4
172,119,976,4
231,36,1015,4
165,74,835,4
196,130,1059,4
216,84,1214,4
108,19,829,4
149,156,920,4
267,113,1205,4
124,-24,881,4
154,71,965,4
200,136,1067,4
201,8,942,4
198,114,962,4
204,161,986,4
183,134,1042,4
151,84,978,4
173,49,917,4
213,152,1013,4
245,53,1038,4
168,113,962,4
195,94,949,4
203,66,1034,4
199,71,995,4
152,113,925,4
196,112,1040,4
186,55,995,4
149,58,894,4
243,216,1050,4
208,105,987,4
155,159,929,4
216,248,1065,4
184,-41,977,4
146,110,937,4
183,73,990,4
171,151,1023,4
161,177,1047,4
134,123,893,4
121,91,1003,4
203,-67,1101,4
116,81,890,4
124,198,1023,4
220,80,1066,4
131,220,909,4
138,-16,1027,4
149,24,1056,4
114,179,927,4
80,187,971,4
166,59,1053,4
166,186,997,4
199,8,928,4
127,22,960,4
103,237,1030,4
131,247,944,4
107,133,963,4
139,377,1090,4
117,102,832,4
154,212,994,4
307,250,1099,4
204,162,832,4
271,224,985,4
262,103,1011,4
