AccX [mg],AccY,AccZ,Ground Truth
748,538,-4,0
764,584,-7,0
829,579,-70,0
847,512,-72,0
846,511,-69,0
860,525,-113,0
879,524,-150,0
893,539,-161,0
872,535,-186,0
850,511,-216,0
836,516,-256,0
770,507,-188,0
783,562,-53,0
1009,592,-12,0
844,603,-39,0
558,684,253,0
690,634,322,0
814,501,116,0
835,473,65,0
832,429,96,0
776,414,36,0
768,471,0,0
808,536,-28,0
828,574,-35,0
802,564,-37,0
711,533,-36,0
667,543,32,0
728,576,17,0
993,565,-59,0
1144,596,-66,0
1134,610,-53,0
1202,599,-97,0
1031,562,-83,0
933,524,2,0
859,513,-13,0
811,484,-50,0
855,490,-58,0
874,518,-129,0
841,583,-178,0
793,663,-206,0
696,710,-226,0
584,775,-232,0
438,852,-246,0
346,898,-183,0
337,891,-160,0
353,867,-113,0
355,816,-2,0
457,776,28,0
571,718,14,0
503,685,64,0
517,597,156,0
592,560,188,0
708,475,120,0
884,387,63,0
1077,466,36,0
1032,493,-6,0
914,502,20,0
877,507,45,0
884,525,16,0
876,531,58,0
849,517,89,0
808,556,92,0
776,567,159,0
741,588,185,0
799,622,233,0
830,547,160,0
789,513,151,0
1028,608,168,0
1351,705,88,0
1132,603,3,0
827,467,39,0
775,477,75,0
972,564,27,0
1107,523,-36,0
1035,353,-90,0
904,350,-74,0
880,452,-79,0
898,467,-113,0
886,482,-92,0
833,547,-86,0
728,698,-61,0
589,741,36,0
461,768,105,0
387,780,177,0
348,738,170,0
353,722,174,0
408,726,186,0
518,677,162,0
725,661,126,0
932,671,93,0
713,562,140,0
728,521,248,0
1007,533,164,0
1120,498,33,0
995,402,84,0
887,421,144,0
797,439,90,0
787,470,69,0
802,519,144,0
762,518,123,0
730,550,170,0
723,554,209,0
795,522,190,0
844,501,166,0
838,452,125,0
815,402,79,0
907,365,42,0
1197,423,30,0
1301,518,14,0
1104,409,2,0
858,371,79,0
711,422,123,0
863,471,77,0
997,469,3,0
975,423,-31,0
823,429,-23,0
771,475,11,0
799,540,-21,0
835,560,-55,0
838,553,-32,0
796,613,-34,0
736,617,-22,0
658,585,0,0
582,576,37,0
557,576,99,0
763,576,80,0
1014,603,22,0
1038,591,15,0
786,579,132,0
780,584,248,0
917,492,134,0
1001,405,7,0
968,401,55,0
836,381,31,0
738,390,34,0
716,412,35,0
697,436,28,0
719,440,62,0
725,445,53,0
707,476,92,0
755,525,158,0
876,550,182,0
899,438,65,0
939,440,30,0
1133,582,74,0
1203,631,42,0
1022,537,32,0
777,483,83,0
730,482,60,0
998,478,-1,0
1066,409,-84,0
915,359,-100,0
804,370,-72,0
809,440,-69,0
831,467,-97,0
835,464,-119,0
849,478,-86,0
893,489,-59,0
914,496,-46,0
869,505,-9,0
820,506,74,0
978,490,65,0
1103,550,22,0
838,508,179,0
685,468,305,0
807,398,196,0
862,413,87,0
918,454,159,0
904,411,137,0
796,379,78,0
724,400,75,0
711,450,86,0
706,482,103,0
711,462,114,0
702,462,124,0
743,495,162,0
810,505,194,0
883,460,155,0
872,413,91,0
1041,523,111,0
1333,616,79,0
1144,583,61,0
815,522,190,0
689,472,152,0
875,523,49,0
1064,522,14,0
992,480,0,0
887,466,18,0
915,492,2,0
983,528,-18,0
963,545,-22,0
847,530,3,0
714,532,45,0
617,504,85,0
549,458,95,0
520,447,141,0
573,427,155,0
792,451,103,0
1010,524,101,0
943,508,162,0
936,517,235,0
1085,522,151,0
1187,549,100,0
1041,497,141,0
864,424,118,0
735,417,58,0
702,471,52,0
689,532,56,0
674,558,71,0
667,535,105,0
688,528,126,0
753,541,142,0
880,514,115,0
908,454,45,0
1142,553,46,0
1310,641,13,0
1089,523,-21,0
816,484,65,0
709,548,56,0
902,565,-5,0
1058,549,-59,0
1008,442,-93,0
861,417,-82,0
837,612,-16,0
862,699,-11,0
835,651,-21,0
704,641,0,0
596,636,29,0
540,589,48,0
546,559,67,0
549,545,137,0
666,523,171,0
864,520,128,0
898,502,88,0
696,448,159,0
779,499,240,0
1011,485,92,0
1096,470,12,0
1053,502,93,0
931,460,72,0
816,442,26,0
785,516,55,0
761,556,55,0
721,596,94,0
725,562,113,0
739,549,133,0
761,584,203,0
834,526,166,0
918,481,82,0
1107,532,57,0
1221,578,5,0
1040,501,-42,0
853,508,32,0
751,556,22,0
826,538,-56,0
1007,564,-93,0
1073,505,-152,0
974,439,-134,0
904,439,-115,0
875,539,-109,0
834,658,-73,0
824,646,-90,0
756,611,-48,0
653,606,53,0
554,496,40,0
564,482,250,0
749,451,301,0
848,386,209,0
999,376,276,0
878,396,364,0
889,366,293,0
1094,379,66,0
1185,428,-96,0
1116,526,-67,0
951,523,-67,0
862,541,-70,0
