AccX [mg],AccY,AccZ,Ground Truth
-291,721,-165,-1
-566,951,-411,-1
-702,1590,-747,-1
-563,1452,-586,-1
-629,1306,-552,-1
-548,1125,-336,-1
-457,748,-121,-1
-350,597,-95,-1
-289,460,-67,-1
-210,407,-81,-1
-184,401,-105,-1
-244,414,-186,-1
-284,591,-231,-1
-321,656,-175,-1
-478,912,-210,-1
-709,1294,-357,-1
-679,1274,-386,-1
-747,1354,-408,-1
-602,1504,-319,-1
-420,887,-76,-1
-369,630,-89,-1
-397,532,-71,-1
-399,440,-116,-1
-342,558,-167,-1
-259,728,-179,-1
-224,638,-187,-1
-230,660,-166,-1
-308,721,-230,-1
-597,1064,-499,-1
-603,1598,-733,-1
-493,1288,-602,-1
-481,1238,-609,-1
-420,1169,-396,-1
-413,862,-182,-1
-406,716,-142,-1
-353,577,-109,-1
-283,415,-113,-1
-230,359,-126,-1
-194,372,-176,-1
-212,478,-304,-1
-175,656,-342,-1
-196,828,-394,-1
-436,1001,-657,-1
-595,1552,-726,-1
-614,1347,-572,-1
-525,1053,-378,-1
-511,819,-277,-1
-483,670,-279,-1
-425,573,-302,-1
-314,475,-350,-1
-188,475,-387,-1
-116,512,-388,-1
-156,657,-470,-1
-183,680,-414,-1
-254,751,-503,-1
-533,1325,-986,-1
-293,1570,-1076,-1
-238,1233,-946,-1
-217,1154,-797,-1
-127,987,-604,-1
-140,606,-346,-1
-142,575,-240,-1
-145,572,-209,-1
-182,581,-234,-1
-158,716,-338,-1
-160,816,-421,-1
-244,942,-590,-1
-301,1192,-744,-1
-267,1246,-828,-1
-197,785,-539,-1
-238,764,-437,-1
-201,846,-375,-1
-185,779,-393,-1
-154,805,-457,-1
-173,764,-448,-1
-172,698,-463,-1
-180,696,-470,-1
-227,729,-459,-1
-244,821,-438,-1
-258,868,-434,-1
-226,896,-431,-1
-195,933,-424,-1
-198,894,-439,-1
-231,816,-450,-1
-323,948,-584,-1
-312,1145,-697,-1
-267,863,-570,-1
-307,741,-587,-1
-281,918,-607,-1
-230,797,-588,-1
-153,629,-529,-1
-122,590,-471,-1
-122,616,-459,-1
-130,643,-466,-1
-126,608,-450,-1
-159,626,-384,-1
-190,708,-369,-1
-185,611,-276,-1
-239,558,-273,-1
-241,789,-277,-1
-310,859,-325,-1
-561,1013,-586,-1
-330,1361,-666,-1
-424,1380,-708,-1
-349,1301,-587,-1
-255,990,-247,-1
-307,630,-109,-1
-374,551,-120,-1
-398,586,-137,-1
-404,502,-200,-1
-436,406,-272,-1
-363,497,-267,-1
-324,610,-315,-1
-343,778,-415,-1
-551,1173,-776,-1
-404,1602,-889,-1
-412,1285,-762,-1
-331,1102,-575,-1
-285,972,-258,-1
-248,615,-94,-1
-181,454,-84,-1
-149,388,-55,-1
-162,372,-156,-1
-183,398,-307,-1
-206,584,-322,-1
-301,810,-295,-1
-677,1044,-587,-1
-561,1414,-758,-1
-619,1224,-610,-1
-667,1300,-554,-1
-460,1112,-358,-1
-402,630,-207,-1
-411,414,-212,-1
-443,452,-268,-1
-421,541,-387,-1
-344,608,-381,-1
-291,616,-351,-1
-296,672,-381,-1
-505,973,-575,-1
-553,1536,-886,-1
-401,1364,-683,-1
-408,994,-498,-1
-309,885,-308,-1
-320,693,-178,-1
-319,578,-168,-1
-262,427,-111,-1
-263,362,-162,-1
-300,424,-294,-1
-305,533,-356,-1
-308,716,-364,-1
-571,898,-502,-1
-630,1404,-779,-1
-516,1217,-566,-1
-590,959,-438,-1
-679,1024,-471,-1
-565,930,-422,-1
-452,578,-258,-1
-442,450,-237,-1
-434,496,-240,-1
-390,437,-256,-1
-366,451,-348,-1
-330,632,-450,-1
-463,834,-685,-1
-511,1270,-916,-1
-545,1340,-852,-1
-486,1160,-683,-1
-441,946,-446,-1
-476,819,-310,-1
-440,704,-247,-1
-345,516,-188,-1
-218,399,-94,-1
-127,298,-109,-1
-152,377,-262,-1
-193,547,-363,-1
-259,657,-372,-1
-491,850,-471,-1
-624,1076,-587,-1
-739,1125,-610,-1
-782,1360,-710,-1
-669,1305,-547,-1
-548,781,-292,-1
-547,652,-240,-1
-587,635,-267,-1
-589,545,-309,-1
-551,468,-272,-1
-550,489,-320,-1
-552,576,-382,-1
-506,644,-485,-1
-607,821,-677,-1
-704,1460,-1137,-1
-521,1351,-1019,-1
-413,1151,-814,-1
-259,1060,-643,-1
-148,780,-405,-1
-111,611,-190,-1
-122,618,-108,-1
-151,616,-114,-1
-173,704,-198,-1
-216,850,-305,-1
-274,945,-375,-1
-442,1202,-737,-1
-335,932,-317,-1
-438,945,-290,-1
-500,993,-360,-1
-495,819,-399,-1
-403,806,-384,-1
-376,805,-334,-1
-406,701,-349,-1
-405,676,-375,-1
-418,696,-353,-1
-456,729,-328,-1
-481,799,-358,-1
-478,870,-433,-1
-414,874,-445,-1
-413,760,-448,-1
-510,1092,-742,-1
-355,1290,-807,-1
-268,920,-717,-1
-246,897,-636,-1
-217,690,-504,-1
-192,524,-462,-1
-186,589,-494,-1
-199,675,-487,-1
-189,747,-557,-1
-153,722,-503,-1
-151,636,-373,-1
-181,671,-335,-1
-197,607,-247,-1
-185,506,-199,-1
-190,642,-207,-1
-323,812,-192,-1
-608,1063,-494,-1
-530,1452,-729,-1
-634,1603,-780,-1
-457,1242,-437,-1
-417,903,-253,-1
-472,706,-190,-1
-520,587,-281,-1
-496,570,-362,-1
-411,535,-317,-1
-379,509,-238,-1
-382,649,-307,-1
-300,688,-295,-1
-240,667,-215,-1
-228,788,-193,-1
-304,774,-237,-1
-540,1077,-510,-1
-541,1275,-632,-1
-563,1230,-612,-1
-564,1225,-633,-1
-439,936,-349,-1
-385,686,-137,-1
-343,623,-106,-1
-324,478,-107,-1
-242,410,-132,-1
-185,418,-159,-1
-212,442,-242,-1
-225,566,-362,-1
-315,696,-305,-1
-596,1004,-474,-1
-673,1276,-644,-1
-737,1319,-622,-1
-772,1497,-597,-1
-508,1123,-264,-1
-428,735,-142,-1
-428,575,-129,-1
-452,452,-167,-1
-411,427,-214,-1
-342,464,-196,-1
-318,511,-249,-1
-404,696,-352,-1
-619,1199,-702,-1
-474,1533,-902,-1
-441,1260,-658,-1
-415,1107,-535,-1
-362,957,-286,-1
-360,700,-68,-1
-358,603,-17,-1
-340,550,-46,-1
-307,529,-122,-1
-271,534,-165,-1
-195,565,-204,-1
-220,559,-183,-1
-366,708,-237,-1
-645,1199,-580,-1
-508,1211,-557,-1
-605,1138,-502,-1
-639,1319,-457,-1
-522,1176,-309,-1
-413,872,-155,-1
-407,676,-132,-1
-389,545,-144,-1
-376,530,-221,-1
-347,607,-231,-1
-311,626,-237,-1
-291,750,-349,-1
-281,748,-320,-1
-510,1012,-586,-1
-516,1432,-799,-1
-410,1204,-609,-1
-455,1028,-471,-1
-393,973,-299,-1
-371,740,-149,-1
-334,619,-86,-1
-325,531,-82,-1
-304,470,-96,-1
-322,469,-178,-1
-379,494,-332,-1
-347,605,-397,-1
-439,646,-322,-1
-677,1162,-526,-1
-558,1383,-516,-1
-696,1373,-500,-1
-624,1470,-362,-1
-475,916,-194,-1
-452,633,-149,-1
-481,545,-187,-1
-449,462,-227,-1
-435,414,-259,-1
-448,496,-255,-1
-387,609,-290,-1
-353,753,-323,-1
-448,851,-382,-1
-671,1222,-611,-1
-576,1291,-695,-1
-463,1010,-576,-1
-419,885,-420,-1
-368,805,-315,-1
-353,720,-191,-1
-322,666,-34,-1
-300,427,1,-1
-305,530,-32,-1
-310,611,-109,-1
-300,631,-204,-1
-281,646,-140,-1
-338,968,-176,-1
-285,1519,-358,-1
-273,1620,-250,-1
-322,1706,-37,-1
-148,587,167,-1
-177,462,157,-1
-205,592,74,-1
-285,730,-84,-1
-239,860,-156,-1
-243,708,-115,-1
-231,804,-67,-1
-189,959,-84,-1
-236,1187,-82,-1
-136,1655,-52,-1
-28,1575,9,-1
58,1250,152,-1
70,933,166,-1
47,835,163,-1
63,847,170,-1
73,781,188,-1
56,735,100,-1
-36,571,2,-1
-70,580,-81,-1
-46,619,-93,-1
33,758,-35,-1
302,1803,-77,-1
591,1722,-3,-1
699,1587,325,-1
518,1291,371,-1
225,786,298,-1
-2,585,188,-1
-124,658,92,-1
-226,804,47,-1
-249,1058,35,-1
-251,957,80,-1
-58,1048,225,-1
98,1224,349,-1
359,1393,342,-1
602,1494,319,-1
688,1334,315,-1
663,1120,265,-1
670,948,208,-1
615,766,176,-1
563,647,165,-1
552,576,165,-1
541,528,183,-1
569,573,220,-1
621,570,286,-1
667,555,399,-1
717,620,485,-1
685,625,547,-1
627,710,596,-1
486,896,721,-1
411,830,732,-1
464,881,740,-1
400,842,700,-1
339,794,662,-1
245,782,665,-1
160,643,673,-1
88,619,652,-1
118,612,554,-1
256,465,509,-1
405,485,473,-1
563,449,393,-1
578,374,318,-1
662,350,177,-1
809,736,410,-1
636,271,739,-1
578,775,1093,-1
550,882,1163,-1
583,561,858,-1
582,650,721,-1
499,649,795,-1
421,756,540,-1
381,650,467,-1
404,702,451,-1
510,664,543,-1
536,559,553,-1
554,571,586,-1
465,492,634,-1
430,674,679,-1
404,657,715,-1
311,579,732,-1
310,575,776,-1
215,644,820,-1
178,770,953,-1
116,659,978,-1
55,492,687,-1
152,353,401,-1
217,605,331,-1
222,466,403,-1
155,888,391,-1
173,694,237,-1
288,984,344,-1
405,973,389,-1
609,1437,262,-1
649,1220,475,-1
709,595,331,-1
801,539,614,-1
656,807,536,-1
727,499,318,-1
745,656,271,-1
858,438,271,-1
927,600,227,-1
964,331,122,-1
869,408,114,-1
796,424,92,-1
829,387,80,-1
891,399,123,-1
910,404,142,-1
896,390,156,-1
894,383,193,-1
918,393,190,-1
933,423,203,-1
952,442,214,-1
960,416,233,-1
960,380,226,-1
950,384,254,-1
944,381,235,-1
