AccX [mg],AccY,AccZ,Ground Truth
763,366,500,0
737,414,516,0
717,434,537,0
779,468,532,0
899,531,535,0
1020,581,494,0
1148,651,472,0
1212,700,524,0
1055,592,373,0
1216,601,300,0
1174,479,241,0
1086,367,191,0
937,260,166,0
842,253,126,0
806,297,87,0
786,325,65,0
793,291,65,0
842,255,70,0
837,271,123,0
901,317,185,0
1038,393,281,0
915,392,454,0
909,396,492,0
1081,345,497,0
958,354,521,0
750,358,538,0
745,347,518,0
747,389,472,0
727,425,457,0
785,482,511,0
867,552,523,0
975,607,494,0
1039,603,448,0
1078,604,442,0
1074,629,490,0
1073,606,428,0
1210,545,334,0
1238,445,269,0
1105,349,211,0
998,302,192,0
880,289,187,0
802,318,142,0
788,307,89,0
744,238,64,0
703,197,70,0
723,239,120,0
803,305,200,0
913,377,287,0
1091,401,380,0
1022,361,428,0
1105,377,465,0
1320,434,470,0
1137,410,425,0
887,359,398,0
789,373,393,0
727,495,408,0
653,520,455,0
686,493,450,0
793,498,432,0
961,562,427,0
1053,620,412,0
1129,693,476,0
1047,660,498,0
1087,578,365,0
1240,526,303,0
1223,389,260,0
1075,320,228,0
947,286,205,0
857,297,164,0
806,302,123,0
754,273,101,0
745,231,91,0
792,238,109,0
861,275,156,0
895,305,198,0
1033,353,237,0
1051,385,320,0
968,399,358,0
1161,453,382,0
1093,458,399,0
941,408,375,0
845,325,372,0
797,394,390,0
724,472,414,0
717,525,462,0
745,538,491,0
896,567,520,0
1027,552,496,0
1069,560,478,0
1101,632,549,0
1093,615,493,0
1265,524,348,0
1323,416,287,0
1193,326,240,0
1029,278,188,0
878,272,158,0
806,320,112,0
790,328,76,0
723,261,61,0
698,211,54,0
742,226,73,0
745,303,161,0
849,368,234,0
979,388,316,0
986,379,387,0
1240,456,436,0
1319,464,471,0
1054,444,487,0
917,344,475,0
894,324,442,0
779,390,426,0
706,488,493,0
728,535,491,0
873,569,463,0
992,580,460,0
1143,595,431,0
1120,684,518,0
987,588,453,0
1128,523,339,0
1275,442,270,0
1187,342,221,0
1017,321,212,0
860,292,188,0
752,307,127,0
767,315,93,0
768,261,78,0
749,212,67,0
816,247,105,0
829,296,174,0
915,369,227,0
985,375,290,0
1020,397,364,0
1269,476,426,0
1239,439,451,0
916,424,471,0
774,279,462,0
696,278,453,0
664,368,494,0
727,420,515,0
824,476,485,0
998,548,469,0
1064,584,414,0
1138,692,449,0
1130,753,526,0
1112,612,345,0
1299,566,271,0
1227,399,255,0
1051,306,225,0
872,269,187,0
763,284,147,0
744,332,136,0
780,301,118,0
757,217,84,0
824,217,99,0
816,250,168,0
851,339,222,0
997,378,268,0
1048,405,351,0
1220,482,400,0
1278,457,449,0
998,419,484,0
817,262,431,0
729,267,431,0
686,434,506,0
694,516,548,0
718,503,515,0
893,544,504,0
1007,569,463,0
1088,636,414,0
1221,766,532,0
1076,651,457,0
1324,572,317,0
1353,402,261,0
1150,270,233,0
977,252,207,0
777,256,170,0
660,315,145,0
718,304,127,0
713,196,91,0
696,171,95,0
790,217,140,0
908,308,211,0
