Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
14:53:19.003,,20,200,991
14:53:19.040,,28,204,998
14:53:19.077,,33,179,982
14:53:19.114,,29,181,993
14:53:19.151,,42,184,987
14:53:19.188,,46,189,983
14:53:19.225,,51,182,987
14:53:19.262,,51,187,978
14:53:19.299,,51,200,987
14:53:19.336,,56,181,987
14:53:19.373,,61,183,982
14:53:19.410,,69,202,985
14:53:19.447,,72,201,987
14:53:19.484,,71,203,992
14:53:19.521,,68,200,988
14:53:19.558,,67,195,990
14:53:19.595,,64,207,994
14:53:19.632,,59,201,984
14:53:19.669,,58,198,992
14:53:19.706,,65,199,992
14:53:19.743,,69,194,986
14:53:19.780,,64,192,985
14:53:19.817,,60,198,995
14:53:19.854,,56,208,983
14:53:19.891,,63,187,982
14:53:19.928,,67,198,987
14:53:19.965,,61,197,979
14:53:20.002,,54,204,984
14:53:20.039,,61,180,991
14:53:20.076,,71,177,992
14:53:20.113,,71,170,996
14:53:20.150,,71,171,998
14:53:20.187,,74,171,1000
14:53:20.224,,71,184,1000
14:53:20.261,,62,188,995
14:53:20.298,,68,180,1005
14:53:20.335,,69,171,993
14:53:20.372,,65,180,996
14:53:20.409,,71,175,1002
14:53:20.446,,72,158,993
14:53:20.483,,72,165,992
14:53:20.520,,62,183,993
14:53:20.557,,58,182,996
14:53:20.594,,50,188,996
14:53:20.631,,46,188,990
14:53:20.668,,41,191,989
14:53:20.705,,50,176,984
14:53:20.743,,62,180,993
14:53:20.780,,54,207,992
14:53:20.817,,36,206,981
14:53:20.854,,18,227,983
14:53:20.891,,5,246,979
14:53:20.928,,0,238,974
14:53:20.965,,-10,249,972
14:53:21.002,,-18,257,961
14:53:21.039,,-18,266,965
14:53:21.076,,-10,257,983
14:53:21.113,,-7,240,965
14:53:21.150,,-28,237,965
14:53:21.187,,-34,248,983
14:53:21.224,,-30,289,951
14:53:21.261,,-22,253,972
14:53:21.298,,-27,254,965
14:53:21.335,,-27,265,956
14:53:21.372,,-23,296,970
14:53:21.409,,-5,243,994
14:53:21.446,,0,230,972
14:53:21.483,,-7,254,976
14:53:21.520,,10,232,1001
14:53:21.557,,26,208,988
14:53:21.594,,23,215,982
14:53:21.631,,14,227,981
14:53:21.668,,19,222,978
14:53:21.705,,21,239,976
14:53:21.742,,11,233,966
14:53:21.779,,-1,229,968
14:53:21.816,,-5,252,974
14:53:21.853,,2,230,976
14:53:21.890,,11,216,982
14:53:21.927,,19,222,969
14:53:21.964,,7,203,990
14:53:22.001,,18,159,997
14:53:22.038,,27,190,998
14:53:22.075,,18,207,989
14:53:22.112,,14,219,997
14:53:22.149,,25,189,1006
14:53:22.186,,18,202,995
14:53:22.223,,19,201,983
14:53:22.260,,18,221,992
14:53:22.297,,7,219,987
14:53:22.334,,7,203,991
14:53:22.371,,20,204,995
14:53:22.408,,34,197,986
14:53:22.445,,46,216,995
14:53:22.482,,59,214,993
14:53:22.519,,57,210,974
14:53:22.556,,59,194,970
14:53:22.593,,56,216,978
14:53:22.630,,57,216,977
14:53:22.667,,49,230,981
14:53:22.704,,55,222,979
14:53:22.741,,64,227,968
14:53:22.778,,55,230,960
14:53:22.815,,61,243,975
14:53:22.852,,62,244,972
14:53:22.889,,51,212,968
14:53:22.926,,48,194,990
14:53:22.963,,43,247,989
14:53:23.000,,33,234,975
14:53:23.037,,35,198,981
14:53:23.074,,31,227,980
14:53:23.111,,32,264,975
14:53:23.148,,35,203,977
14:53:23.185,,30,219,982
14:53:23.222,,25,261,977
14:53:23.259,,5,246,952
14:53:23.296,,16,312,977
14:53:23.333,,28,274,976
14:53:23.370,,21,244,972
14:53:23.407,,2,247,995
14:53:23.444,,5,255,995
14:53:23.481,,10,256,984
14:53:23.518,,11,251,990
14:53:23.555,,11,268,992
14:53:23.593,,15,261,982
14:53:23.630,,12,262,974
14:53:23.667,,12,258,983
14:53:23.704,,10,263,984
14:53:23.741,,8,236,963
14:53:23.778,,12,248,969
14:53:23.815,,15,271,974
14:53:23.852,,19,255,959
14:53:23.889,,24,262,964
14:53:23.926,,41,250,966
14:53:23.963,,36,254,972
14:53:24.000,,30,259,973
14:53:24.037,,45,245,976
14:53:24.074,,62,237,970
14:53:24.111,,59,269,964
14:53:24.148,,65,270,969
14:53:24.185,,64,265,960
14:53:24.222,,66,262,981
14:53:24.259,,76,241,985
14:53:24.296,,72,230,972
14:53:24.333,,74,241,971
14:53:24.370,,78,246,968
14:53:24.407,,74,258,963
14:53:24.444,,59,279,972
14:53:24.481,,59,269,990
14:53:24.518,,55,275,983
14:53:24.555,,57,229,963
14:53:24.592,,61,259,975
14:53:24.629,,67,249,977
14:53:24.666,,58,261,973
14:53:24.703,,62,243,975
14:53:24.740,,51,275,970
14:53:24.777,,44,282,961
14:53:24.814,,37,308,975
14:53:24.851,,56,247,972
14:53:24.888,,42,262,957
14:53:24.925,,36,278,957
14:53:24.962,,38,296,962
14:53:24.999,,44,278,968
14:53:25.036,,37,275,971
14:53:25.073,,29,277,974
14:53:25.110,,41,271,969
14:53:25.147,,20,304,950
14:53:25.184,,29,278,982
14:53:25.221,,40,273,989
14:53:25.258,,21,287,968
14:53:25.295,,13,291,988
14:53:25.332,,22,287,984
14:53:25.369,,28,258,965
14:53:25.406,,23,274,973
14:53:25.443,,19,305,987
14:53:25.480,,47,262,979
14:53:25.517,,32,243,963
14:53:25.554,,40,265,972
14:53:25.591,,48,273,975
14:53:25.628,,35,256,948
14:53:25.665,,40,281,983
14:53:25.702,,56,264,970
14:53:25.739,,47,243,941
14:53:25.776,,41,290,982
14:53:25.813,,58,253,976
14:53:25.850,,51,251,964
14:53:25.887,,41,262,979
14:53:25.924,,44,261,981
14:53:25.961,,36,253,949
14:53:25.998,,37,258,968
14:53:26.035,,60,250,988
14:53:26.072,,61,226,967
14:53:26.109,,42,278,978
14:53:26.146,,49,261,969
14:53:26.183,,50,254,959
14:53:26.220,,47,254,979
14:53:26.257,,58,256,983
14:53:26.294,,39,280,962
14:53:26.331,,26,269,960
14:53:26.368,,41,239,980
14:53:26.405,,39,232,986
14:53:26.442,,22,257,1009
14:53:26.479,,29,238,1012
14:53:26.516,,34,225,984
14:53:26.553,,50,255,989
14:53:26.590,,74,285,989
14:53:26.627,,66,296,984
14:53:26.664,,44,303,982
14:53:26.701,,33,289,960
14:53:26.739,,20,279,941
14:53:26.776,,11,278,938
14:53:26.813,,12,282,959
14:53:26.850,,31,259,962
14:53:26.887,,46,273,950
14:53:26.924,,65,292,939
14:53:26.961,,63,313,932
14:53:26.998,,35,330,925
14:53:27.035,,14,349,935
14:53:27.072,,11,363,947
14:53:27.109,,9,389,929
14:53:27.146,,3,370,920
14:53:27.183,,-7,359,946
14:53:27.220,,-16,329,957
14:53:27.257,,-29,347,964
14:53:27.294,,-24,373,969
14:53:27.331,,-2,353,947
14:53:27.368,,12,354,912
14:53:27.405,,0,402,932
14:53:27.442,,-18,409,959
14:53:27.479,,-31,396,941
14:53:27.516,,-41,375,928
14:53:27.553,,-37,330,931
14:53:27.590,,-38,310,945
14:53:27.627,,-32,355,985
14:53:27.664,,-29,319,958
14:53:27.701,,-18,283,934
14:53:27.738,,11,318,946
14:53:27.775,,9,315,949
14:53:27.812,,-9,329,944
14:53:27.849,,3,332,934
14:53:27.886,,31,325,937
14:53:27.923,,54,332,940
14:53:27.960,,53,363,951
14:53:27.997,,44,339,959
14:53:28.034,,48,335,973
14:53:28.071,,73,324,966
14:53:28.108,,87,345,944
14:53:28.145,,74,345,939
14:53:28.182,,54,318,958
14:53:28.219,,61,333,993
14:53:28.256,,78,344,973
14:53:28.293,,104,324,926
14:53:28.330,,111,341,930
14:53:28.367,,98,373,904
14:53:28.404,,65,301,959
14:53:28.441,,42,330,938
14:53:28.478,,51,285,898
14:53:28.515,,66,293,926
14:53:28.552,,77,309,907
14:53:28.589,,78,332,926
14:53:28.626,,83,321,967
14:53:28.663,,88,328,934
14:53:28.700,,62,397,928
14:53:28.737,,70,323,963
14:53:28.774,,57,353,994
14:53:28.811,,56,295,993
14:53:28.848,,32,334,963
14:53:28.885,,49,367,962
14:53:28.922,,62,355,950
14:53:28.959,,42,350,980
14:53:28.996,,35,349,966
14:53:29.033,,44,357,950
14:53:29.070,,48,340,938
14:53:29.107,,50,304,941
14:53:29.144,,31,339,946
14:53:29.181,,22,329,958
14:53:29.218,,41,335,966
14:53:29.255,,76,362,921
14:53:29.292,,65,358,922
14:53:29.329,,37,363,920
14:53:29.366,,-5,339,949
14:53:29.403,,-21,352,958
14:53:29.440,,11,338,932
14:53:29.478,,60,361,922
14:53:29.514,,72,394,914
14:53:29.552,,60,425,932
14:53:29.589,,35,445,933
14:53:29.626,,22,408,895
14:53:29.663,,-3,451,901
14:53:29.700,,-18,433,904
14:53:29.737,,-37,393,931
14:53:29.774,,-48,378,940
14:53:29.811,,-30,373,919
14:53:29.848,,0,417,909
14:53:29.885,,9,456,905
14:53:29.922,,-19,485,901
14:53:29.959,,-46,496,902
14:53:29.996,,-50,485,882
14:53:30.033,,-40,436,890
14:53:30.070,,-41,413,916
14:53:30.107,,-53,412,926
14:53:30.144,,-45,421,920
14:53:30.181,,-10,431,900
14:53:30.218,,25,451,883
14:53:30.255,,29,472,880
14:53:30.292,,-2,461,894
14:53:30.329,,-40,444,914
14:53:30.366,,-70,443,901
14:53:30.403,,-71,406,906
14:53:30.440,,-54,390,923
14:53:30.477,,-30,389,921
14:53:30.514,,0,400,937
14:53:30.551,,18,444,924
14:53:30.588,,32,452,890
14:53:30.625,,38,441,899
14:53:30.662,,21,429,907
14:53:30.699,,-12,427,922
14:53:30.736,,-39,423,921
14:53:30.773,,-37,395,902
14:53:30.810,,-18,392,912
14:53:30.847,,0,416,926
14:53:30.884,,13,423,911
14:53:30.921,,22,439,919
14:53:30.958,,40,453,900
14:53:30.995,,49,424,886
14:53:31.032,,23,450,901
14:53:31.069,,-9,430,911
14:53:31.106,,-32,394,922
14:53:31.143,,-38,389,915
14:53:31.180,,-10,402,918
14:53:31.217,,24,430,930
14:53:31.254,,57,432,899
14:53:31.291,,49,462,910
14:53:31.328,,42,448,915
14:53:31.365,,27,414,917
14:53:31.402,,-4,451,920
14:53:31.439,,-15,411,908
14:53:31.476,,-4,400,925
14:53:31.513,,30,417,898
14:53:31.550,,46,436,887
14:53:31.587,,49,435,897
14:53:31.624,,24,415,877
14:53:31.661,,-10,418,906
14:53:31.698,,-21,428,907
14:53:31.735,,10,374,884
14:53:31.772,,30,390,906
14:53:31.809,,29,416,913
14:53:31.846,,18,413,923
14:53:31.883,,20,428,930
14:53:31.920,,39,461,919
14:53:31.958,,50,450,907
14:53:31.995,,34,438,904
14:53:32.032,,6,419,936
14:53:32.069,,-8,421,939
14:53:32.106,,-5,444,923
14:53:32.143,,25,431,914
14:53:32.180,,52,436,915
14:53:32.217,,31,412,889
14:53:32.254,,-19,412,943
14:53:32.291,,-47,424,943
14:53:32.328,,-36,372,904
14:53:32.365,,-12,395,930
14:53:32.402,,22,402,934
14:53:32.439,,33,414,912
14:53:32.476,,18,426,912
14:53:32.513,,17,424,909
14:53:32.550,,8,390,911
14:53:32.587,,-12,391,900
14:53:32.624,,-17,405,936
14:53:32.661,,12,418,904
14:53:32.698,,31,387,869
14:53:32.735,,30,413,907
14:53:32.772,,16,403,908
14:53:32.809,,-13,392,908
14:53:32.846,,-23,412,934
14:53:32.883,,15,378,903
14:53:32.920,,32,369,919
14:53:32.957,,21,432,931
14:53:32.994,,4,398,919
14:53:33.031,,5,394,932
14:53:33.068,,15,412,936
14:53:33.105,,23,394,940
14:53:33.142,,-5,380,933
14:53:33.179,,-35,379,932
14:53:33.216,,-31,377,958
14:53:33.253,,-11,395,935
14:53:33.290,,1,400,931
14:53:33.327,,10,393,941
14:53:33.364,,-11,385,922
14:53:33.401,,-38,398,952
14:53:33.438,,-26,367,933
14:53:33.475,,-15,370,899
14:53:33.512,,-15,361,908
14:53:33.549,,-16,354,931
14:53:33.586,,-37,355,941
14:53:33.623,,-49,357,913
14:53:33.660,,-12,353,911
14:53:33.697,,32,373,916
14:53:33.734,,42,379,899
14:53:33.771,,24,395,915
14:53:33.808,,9,410,906
14:53:33.845,,0,395,903
14:53:33.882,,-17,420,932
14:53:33.919,,-29,386,920
14:53:33.956,,-32,360,930
14:53:33.993,,-14,391,938
14:53:34.030,,0,380,936
14:53:34.067,,-3,381,938
14:53:34.104,,-17,397,927
14:53:34.141,,-7,387,941
14:53:34.178,,3,396,930
14:53:34.215,,6,410,934
14:53:34.252,,5,399,938
14:53:34.289,,-11,395,932
14:53:34.326,,-27,393,942
14:53:34.363,,-23,378,942
14:53:34.400,,-21,372,919
14:53:34.437,,-16,379,929
14:53:34.474,,-22,378,927
14:53:34.511,,-47,355,909
14:53:34.548,,-61,345,933
14:53:34.585,,-41,354,932
14:53:34.622,,-18,342,908
14:53:34.659,,-13,370,918
14:53:34.696,,-7,377,917
14:53:34.734,,-14,372,916
14:53:34.771,,-37,370,901
14:53:34.808,,-29,369,923
14:53:34.845,,0,365,940
14:53:34.882,,-9,376,922
14:53:34.919,,-20,368,929
14:53:34.956,,-6,360,931
