Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
18:25:20.790,,73,728,779
18:25:20.827,,90,656,623
18:25:20.864,,73,615,718
18:25:20.901,,57,693,726
18:25:20.938,,96,686,692
18:25:20.975,,153,664,695
18:25:21.012,,122,656,796
18:25:21.049,,64,737,648
18:25:21.086,,91,624,412
18:25:21.123,,-2,595,824
18:25:21.161,,0,795,831
18:25:21.198,,135,572,562
18:25:21.235,,85,543,585
18:25:21.272,,46,502,695
18:25:21.309,,5,716,838
18:25:21.346,,-8,926,783
18:25:21.383,,146,753,582
18:25:21.420,,78,521,990
18:25:21.457,,27,743,825
18:25:21.494,,88,646,605
18:25:21.531,,0,755,896
18:25:21.568,,35,845,776
18:25:21.605,,155,604,696
18:25:21.642,,96,647,913
18:25:21.679,,60,750,748
18:25:21.716,,77,615,606
18:25:21.753,,42,604,728
18:25:21.790,,33,665,672
18:25:21.827,,79,575,628
18:25:21.864,,92,600,751
18:25:21.901,,58,649,732
18:25:21.938,,73,608,683
18:25:21.975,,69,674,780
18:25:22.012,,49,736,726
18:25:22.049,,63,695,713
18:25:22.086,,106,619,742
18:25:22.123,,40,706,801
18:25:22.160,,58,661,683
18:25:22.197,,70,776,753
18:25:22.234,,38,781,786
18:25:22.271,,118,680,629
18:25:22.309,,69,589,860
18:25:22.346,,28,647,787
18:25:22.383,,37,670,617
18:25:22.420,,13,725,842
18:25:22.457,,60,821,608
18:25:22.494,,78,601,753
18:25:22.531,,38,734,778
18:25:22.568,,61,578,766
18:25:22.605,,77,693,698
18:25:22.642,,67,665,817
18:25:22.679,,50,767,706
18:25:22.716,,84,667,769
18:25:22.753,,62,719,767
18:25:22.790,,76,656,714
18:25:22.827,,73,674,774
18:25:22.864,,84,700,738
18:25:22.901,,107,605,718
18:25:22.938,,71,659,753
18:25:22.975,,86,601,680
18:25:23.012,,58,694,713
18:25:23.049,,73,665,662
18:25:23.086,,75,690,731
18:25:23.123,,88,641,683
18:25:23.160,,59,669,742
18:25:23.197,,76,720,711
