Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
15:07:02.379,,-314,406,903
15:07:02.416,,-243,350,888
15:07:02.439,>Bus,,,
15:07:02.452,,-171,172,869
15:07:02.489,,-26,39,1046
15:07:02.526,,28,293,984
15:07:02.563,,106,165,1059
15:07:02.600,,-35,95,1009
15:07:02.637,,-19,306,1018
15:07:02.674,,-49,300,1036
15:07:02.711,,40,354,1014
15:07:02.748,,-3,105,957
15:07:02.785,,-39,287,1121
15:07:02.822,,-49,326,1097
15:07:02.859,,-76,293,1033
15:07:02.896,,-52,202,1084
15:07:02.933,,-100,24,1044
15:07:02.970,,-121,145,1043
15:07:03.007,,-21,67,963
15:07:03.044,,-19,-220,793
15:07:03.081,,109,-118,972
15:07:03.117,,1,-186,1050
15:07:03.154,,92,172,1021
15:07:03.191,,37,280,1005
15:07:03.228,,45,102,1020
15:07:03.265,,86,200,980
15:07:03.302,,96,347,911
15:07:03.339,,99,351,937
15:07:03.376,,82,358,928
15:07:03.413,,38,394,885
15:07:03.450,,86,567,883
15:07:03.487,,68,682,811
15:07:03.524,,6,530,800
15:07:03.561,,-87,439,908
15:07:03.598,,-29,604,856
15:07:03.635,,-60,517,840
15:07:03.672,,-10,416,914
15:07:03.709,,-8,567,889
15:07:03.746,,-38,509,859
15:07:03.782,,-41,432,895
15:07:03.819,,-56,496,876
15:07:03.856,,-53,391,916
15:07:03.893,,-50,363,914
15:07:03.930,,-48,461,941
15:07:03.967,,-40,483,943
15:07:04.004,,-28,450,934
15:07:04.041,,-27,300,944
15:07:04.078,,-41,331,927
15:07:04.115,,-38,405,930
15:07:04.152,,-63,397,953
15:07:04.189,,-33,418,978
15:07:04.226,,-29,378,948
15:07:04.263,,-33,439,907
15:07:04.300,,-28,367,894
15:07:04.337,,-17,321,903
15:07:04.374,,-64,464,909
15:07:04.411,,-68,481,919
15:07:04.448,,-59,450,903
15:07:04.485,,-69,456,879
15:07:04.521,,-42,507,869
15:07:04.558,,-49,503,869
15:07:04.595,,-51,471,890
15:07:04.632,,-49,531,876
15:07:04.669,,-66,548,885
15:07:04.706,,-68,511,888
15:07:04.743,,-65,502,871
15:07:04.780,,-65,493,877
15:07:04.817,,-82,508,877
15:07:04.854,,-81,481,899
15:07:04.891,,-78,440,879
15:07:04.928,,-69,551,881
15:07:04.965,,-95,500,901
15:07:05.002,,-85,440,891
15:07:05.039,,-83,461,880
15:07:05.076,,-72,475,905
15:07:05.113,,-85,464,889
15:07:05.150,,-68,476,892
15:07:05.187,,-81,480,892
15:07:05.224,,-79,515,882
15:07:05.261,,-88,508,894
15:07:05.297,,-77,524,881
15:07:05.334,,-72,528,860
15:07:05.371,,-77,523,856
15:07:05.408,,-80,527,833
15:07:05.445,,-84,547,853
15:07:05.482,,-87,564,856
15:07:05.519,,-94,567,866
15:07:05.556,,-86,560,846
15:07:05.593,,-90,544,843
15:07:05.630,,-91,537,889
15:07:05.667,,-83,590,862
15:07:05.704,,-78,607,882
15:07:05.741,,-96,535,863
15:07:05.778,,-99,530,840
15:07:05.815,,-109,543,850
15:07:05.852,,-114,539,836
15:07:05.889,,-123,551,838
15:07:05.926,,-127,564,832
15:07:05.963,,-135,543,817
15:07:06.-01,,-165,527,882
15:07:06.036,,-162,536,849
15:07:06.073,,-160,580,856
15:07:06.110,,-178,588,890
15:07:06.147,,-195,386,866
15:07:06.184,,-193,498,899
15:07:06.221,,-174,548,879
15:07:06.258,,-185,419,883
15:07:06.295,,-189,403,898
15:07:06.332,,-169,477,865
15:07:06.369,,-179,549,898
15:07:06.406,,-154,633,870
15:07:06.443,,-133,617,821
15:07:06.480,,-136,614,824
15:07:06.517,,-121,589,783
15:07:06.554,,-102,638,849
15:07:06.591,,-112,515,836
15:07:06.628,,-60,659,803
15:07:06.665,,-76,659,837
15:07:06.702,,-45,639,777
15:07:06.739,,-17,677,786
15:07:06.776,,-19,539,847
15:07:06.813,,-44,588,788
15:07:06.849,,-10,663,780
15:07:06.886,,8,603,787
15:07:06.923,,-13,602,785
15:07:06.960,,24,733,758
15:07:06.997,,3,779,633
15:07:07.034,,21,759,693
15:07:07.071,,28,604,735
15:07:07.108,,73,714,667
15:07:07.145,,84,744,693
15:07:07.182,,39,766,676
15:07:07.219,,88,657,752
15:07:07.256,,74,659,777
15:07:07.293,,59,645,758
15:07:07.330,,101,731,777
15:07:07.367,,77,681,737
15:07:07.404,,54,667,727
15:07:07.441,,62,693,753
15:07:07.478,,61,680,711
15:07:07.515,,41,701,736
15:07:07.552,,39,666,742
15:07:07.589,,12,685,721
15:07:07.626,,33,718,747
15:07:07.663,,51,669,723
15:07:07.700,,52,693,692
15:07:07.736,,61,701,729
15:07:07.773,,28,677,694
15:07:07.810,,55,730,723
15:07:07.847,,38,723,714
15:07:07.884,,45,706,715
15:07:07.921,,55,716,732
15:07:07.958,,35,689,707
15:07:07.995,,-15,683,736
15:07:08.032,,-42,702,725
15:07:08.069,,-40,632,743
15:07:08.106,,-64,634,762
15:07:08.143,,-85,604,758
15:07:08.180,,-81,587,757
15:07:08.217,,-61,634,771
15:07:08.254,,-55,622,783
15:07:08.291,,-44,613,795
15:07:08.328,,-32,648,829
15:07:08.365,,-67,620,810
15:07:08.402,,-75,660,823
15:07:08.439,,-49,623,866
15:07:08.476,,-43,645,821
15:07:08.513,,-37,656,857
15:07:08.550,,-52,511,878
15:07:08.587,,-45,399,842
15:07:08.624,,-41,362,943
15:07:08.661,,-76,376,911
15:07:08.697,,-105,480,867
15:07:08.734,,-55,546,938
15:07:08.771,,-50,493,904
15:07:08.808,,-35,496,907
15:07:08.845,,-44,490,880
15:07:08.882,,-45,544,837
15:07:08.919,,-33,495,851
15:07:08.956,,-51,515,819
15:07:08.993,,-61,607,812
15:07:09.030,,-49,582,855
15:07:09.067,,-44,582,819
15:07:09.104,,-40,620,822
15:07:09.141,,-58,605,809
15:07:09.178,,-68,614,818
15:07:09.215,,-67,616,850
15:07:09.252,,-88,612,823
15:07:09.289,,-66,620,852
15:07:09.326,,-71,609,855
15:07:09.363,,-79,603,846
15:07:09.400,,-80,573,814
15:07:09.437,,-81,516,800
15:07:09.474,,-72,531,820
15:07:09.511,,-77,554,805
15:07:09.548,,-76,564,810
15:07:09.585,,-92,584,810
15:07:09.622,,-83,593,795
15:07:09.659,,-72,613,810
15:07:09.696,,-79,631,776
15:07:09.732,,-78,610,802
15:07:09.769,,-70,645,816
15:07:09.806,,-86,629,812
15:07:09.843,,-83,624,874
15:07:09.880,,-68,575,873
15:07:09.917,,-94,528,957
15:07:09.954,,-87,548,1057
15:07:09.991,,59,1162,987
15:07:10.028,,-132,1126,1012
15:07:10.065,,-14,442,693
15:07:10.102,,-151,76,674
15:07:10.139,,-221,-95,632
15:07:10.176,,-223,-189,505
15:07:10.213,,-167,61,541
15:07:10.250,,-111,-147,796
15:07:10.287,,-231,22,1068
15:07:10.324,,-32,-43,1283
15:07:10.361,,50,-1273,1039
15:07:10.398,,-55,-1013,820
15:07:10.435,,-166,-990,798
15:07:10.472,,-159,-534,836
15:07:10.509,,-194,-382,891
15:07:10.546,,-120,-361,892
15:07:10.583,,-102,-459,824
15:07:10.619,,-65,-606,902
15:07:10.656,,-122,-601,900
15:07:10.693,,-120,-435,961
15:07:10.730,,-90,-339,1056
15:07:10.767,,-140,-411,969
15:07:10.804,,-120,-446,984
15:07:10.841,,-102,-461,991
15:07:10.878,,-146,-517,912
15:07:10.915,,-197,-343,857
15:07:10.952,,-165,-342,916
15:07:10.989,,-183,-367,923
15:07:11.026,,-150,-326,959
15:07:11.063,,-132,-240,956
15:07:11.100,,-101,-278,992
15:07:11.137,,-87,-363,1003
15:07:11.174,,-69,-444,978
15:07:11.211,,-41,-322,971
15:07:11.248,,-58,-253,971
15:07:11.285,,-31,-282,962
15:07:11.322,,8,-345,1022
15:07:11.359,,13,-271,978
15:07:11.396,,27,-266,960
15:07:11.432,,33,-271,988
15:07:11.469,,42,-324,920
15:07:11.506,,69,-338,933
15:07:11.543,,80,-320,940
15:07:11.580,,80,-276,933
15:07:11.617,,87,-412,984
15:07:11.654,,65,-189,998
15:07:11.691,,7,-200,977
15:07:11.728,,5,-283,985
15:07:11.765,,-11,-218,915
15:07:11.802,,22,-277,940
15:07:11.839,,37,-306,903
15:07:11.876,,16,-304,937
15:07:11.913,,28,-205,1009
15:07:11.950,,-13,-229,977
15:07:11.987,,7,-208,1040
15:07:12.024,,34,-340,1006
15:07:12.061,,72,-338,1005
15:07:12.098,,42,-241,1020
15:07:12.135,,15,-276,972
15:07:12.172,,18,-254,999
15:07:12.208,,52,-354,959
15:07:12.245,,126,-495,950
15:07:12.282,,99,-301,961
15:07:12.319,,50,-211,951
15:07:12.356,,48,-213,974
15:07:12.393,,111,-321,921
15:07:12.430,,90,-267,941
15:07:12.467,,69,-306,976
15:07:12.504,,56,-323,978
15:07:12.541,,50,-243,1005
15:07:12.578,,56,-264,1005
15:07:12.615,,57,-271,993
15:07:12.652,,58,-289,1015
15:07:12.689,,49,-296,978
15:07:12.726,,64,-271,965
15:07:12.763,,72,-282,979
15:07:12.800,,60,-278,967
15:07:12.837,,65,-273,1003
15:07:12.874,,110,-415,1026
15:07:12.911,,98,-336,1002
15:07:12.948,,83,-287,999
15:07:12.984,,88,-334,963
15:07:13.021,,82,-276,987
15:07:13.058,,93,-325,960
15:07:13.095,,115,-346,929
15:07:13.132,,103,-367,949
15:07:13.169,,64,-187,959
15:07:13.206,,29,-249,943
15:07:13.243,,35,-250,975
15:07:13.280,,63,-351,952
15:07:13.317,,63,-322,960
15:07:13.354,,57,-209,976
15:07:13.391,,33,-223,961
15:07:13.428,,51,-190,993
15:07:13.465,,75,-286,973
15:07:13.502,,63,-285,991
15:07:13.539,,50,-183,1007
15:07:13.576,,75,-278,1036
15:07:13.613,,116,-251,1042
15:07:13.650,,137,-184,999
15:07:13.687,,156,-259,984
15:07:13.723,,121,-249,952
15:07:13.760,,115,-249,982
15:07:13.797,,116,-309,1003
15:07:13.834,,102,-292,955
15:07:13.871,,102,-254,970
15:07:13.908,,101,-305,932
15:07:13.945,,70,-238,862
15:07:13.982,,71,-252,868
15:07:14.019,,68,-286,904
15:07:14.056,,94,-253,1008
15:07:14.093,,135,-277,1092
15:07:14.130,,129,-225,1046
15:07:14.167,,112,-192,1002
15:07:14.204,,128,-91,1074
15:07:14.241,,155,-26,1149
15:07:14.278,,133,-29,1076
15:07:14.315,,108,-4,1009
15:07:14.352,,85,-68,965
15:07:14.389,,34,-57,942
15:07:14.426,,49,-194,964
15:07:14.463,,84,-186,967
15:07:14.500,,73,-167,979
15:07:14.536,,67,-214,1005
15:07:14.573,,81,-214,989
15:07:14.610,,116,-184,981
15:07:14.647,,140,-174,962
15:07:14.684,,148,-197,971
15:07:14.721,,125,-197,981
15:07:14.758,,89,-172,1002
15:07:14.795,,68,-193,1030
15:07:14.832,,54,-185,1039
15:07:14.869,,48,-198,1046
15:07:14.906,,52,-214,1025
15:07:14.943,,53,-185,989
15:07:14.980,,53,-186,1014
15:07:15.017,,57,-232,1003
15:07:15.054,,78,-190,971
15:07:15.091,,99,-173,990
15:07:15.128,,126,-191,984
15:07:15.165,,137,-117,964
15:07:15.202,,118,-109,911
15:07:15.239,,108,-127,892
15:07:15.276,,78,-115,901
15:07:15.312,,65,-151,923
15:07:15.349,,36,-108,910
15:07:15.386,,3,-113,895
15:07:15.423,,-4,-165,899
15:07:15.460,,-21,-139,898
15:07:15.497,,-16,-145,942
15:07:15.534,,-5,-131,987
15:07:15.571,,1,-110,1029
15:07:15.608,,-11,-76,1021
15:07:15.645,,6,-119,1055
15:07:15.682,,-14,-79,1026
15:07:15.719,,-30,-42,1053
15:07:15.756,,-25,-112,1078
15:07:15.793,,-28,-89,1043
15:07:15.830,,-15,-120,1061
15:07:15.867,,10,-171,1042
15:07:15.904,,15,-153,1009
15:07:15.941,,38,-187,1050
15:07:15.978,,40,-219,985
15:07:16.015,,46,-240,996
15:07:16.052,,62,-283,997
15:07:16.089,,53,-268,958
15:07:16.126,,77,-283,989
15:07:16.162,,76,-260,962
